Drug_Name,OMOP CUI,RxNorm CUI
Amiodarone hydrochloride 1.2 MG/ML Injectable Solution,19135750,849874
Amiodarone hydrochloride 1.5 MG/ML Injection,46276340,1663272
Amiodarone hydrochloride 1.8 MG/ML Injection,46276342,1663276
Amiodarone hydrochloride 100 MG Oral Tablet,1310037,835956
Amiodarone hydrochloride 200 MG Oral Tablet,1309992,833528
Amiodarone hydrochloride 30 MG/ML Prefilled Syringe,42902565,1359678
Amiodarone hydrochloride 300 MG Oral Tablet,19134087,835960
Amiodarone hydrochloride 400 MG Oral Tablet,1310001,834348
Amiodarone hydrochloride 50 MG/ML Injectable Solution,1309995,833532
Amiodarone hydrochloride 50 MG/ML Injection,46276334,1663225
Amiodarone hydrochloride 50 MG/ML Prefilled Syringe,42902788,1359901
