Drug_Name,OMOP CUI,RxNorm CUI
Ondansetron 0.16 MG/ML Injectable Solution,40227201,1010920
Ondansetron 0.64 MG/ML Injectable Solution,19079158,312083
Ondansetron 0.8 MG/ML Oral Solution,19079160,312085
Ondansetron 1 MG/ML Oral Suspension,19105662,421989
Ondansetron 16 MG Oral Tablet,1000619,692695
Ondansetron 16 MG Rectal Suppository,19063168,250587
Ondansetron 2 MG/ML Injectable Solution,19070869,283504
Ondansetron 2 MG/ML Prefilled Syringe,42903118,1360231
Ondansetron 2.5 MG/ML Injectable Solution,19101592,387067
Ondansetron 24 MG Oral Tablet,19079159,312084
Ondansetron 30 MG Oral Tablet,1000618,541619
Ondansetron 4 MG Disintegrating Oral Tablet,19005965,104894
Ondansetron 4 MG Oral Strip,40223992,998033
Ondansetron 4 MG Oral Tablet,19019419,198052
Ondansetron 8 MG Disintegrating Oral Tablet,19079172,312087
Ondansetron 8 MG Oral Strip,40223995,998028
Ondansetron 8 MG Oral Tablet,19079171,312086
Ondansetron 8 MG/ML Injectable Solution,1000579,252538
