Drug_Name,OMOP CUI,RxNorm CUI
Flecainide 100 MG Extended Release Oral Capsule,19022281,199741
Flecainide 200 MG Extended Release Oral Capsule,19022282,199742
Flecainide Acetate 10 MG/ML Injectable Solution,40169044,886676
Flecainide Acetate 100 MG Oral Tablet,40169046,886666
Flecainide Acetate 150 MG Oral Tablet,40169050,886671
Flecainide Acetate 50 MG Oral Tablet,40169054,886662
Ondansetron 0.16 MG/ML Injectable Solution,40227201,1010920
Ondansetron 0.64 MG/ML Injectable Solution,19079158,312083
Ondansetron 0.8 MG/ML Oral Solution,19079160,312085
Ondansetron 1 MG/ML Oral Suspension,19105662,421989
Ondansetron 16 MG Oral Tablet,1000619,692695
Ondansetron 16 MG Rectal Suppository,19063168,250587
Ondansetron 2 MG/ML Injectable Solution,19070869,283504
Ondansetron 2 MG/ML Prefilled Syringe,42903118,1360231
Ondansetron 2.5 MG/ML Injectable Solution,19101592,387067
Ondansetron 24 MG Oral Tablet,19079159,312084
Ondansetron 30 MG Oral Tablet,1000618,541619
Ondansetron 4 MG Disintegrating Oral Tablet,19005965,104894
Ondansetron 4 MG Oral Strip,40223992,998033
Ondansetron 4 MG Oral Tablet,19019419,198052
Ondansetron 8 MG Disintegrating Oral Tablet,19079172,312087
Ondansetron 8 MG Oral Strip,40223995,998028
Ondansetron 8 MG Oral Tablet,19079171,312086
Ondansetron 8 MG/ML Injectable Solution,1000579,252538
