Drug_Name,OMOP CUI,RxNorm CUI
Amiloride 2.5 MG / Atenolol 50 MG / Hydrochlorothiazide 25 MG Oral Tablet,991420,432951
Amiloride Hydrochloride 2.5 MG / Atenolol 50 MG / Hydrochlorothiazide 25 MG Oral Capsule,40177818,977920
Atenolol 0.5 MG/ML Injectable Solution,19003680,104308
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet,1314009,197382
Atenolol 100 MG Oral Capsule,1314044,249385
Atenolol 100 MG Oral Tablet,1314006,197379
Atenolol 25 MG / Bendroflumethiazide 1.25 MG Oral Capsule,19016929,153155
Atenolol 25 MG / Chlorthalidone 12.5 MG / Hydralazine 25 MG Oral Tablet,19107535,432658
Atenolol 25 MG / Nifedipine 10 MG Extended Release Oral Capsule,19103832,411852
Atenolol 25 MG / Nifedipine 10 MG Oral Tablet,19064962,252201
Atenolol 25 MG Oral Tablet,19018811,197380
Atenolol 5 MG/ML Oral Solution,1314162,755528
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Capsule,1395092,249567
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet,1395059,152916
Atenolol 50 MG / Chlorthalidone 25 MG / Hydralazine 50 MG Oral Tablet,19107534,432657
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet,1395060,197383
Atenolol 50 MG / Nifedipine 20 MG Extended Release Oral Capsule,19101994,393275
Atenolol 50 MG / Nifedipine 20 MG Oral Capsule,1318912,251254
Atenolol 50 MG Oral Capsule,1314043,249384
Atenolol 50 MG Oral Tablet,1314008,197381
