Drug_Name,OMOP CUI,RxNorm CUI
Bisoprolol 10 MG / Hydrochlorothiazide 25 MG Oral Tablet,19106242,427556
Bisoprolol 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,19109018,437986
Bisoprolol Fumarate 1.25 MG Oral Tablet,40166187,865154
Bisoprolol Fumarate 10 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,40162864,854908
Bisoprolol Fumarate 10 MG Oral Tablet,40162867,854901
Bisoprolol Fumarate 2.5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,40162871,854916
Bisoprolol Fumarate 2.5 MG Oral Tablet,40166188,865155
Bisoprolol Fumarate 3.75 MG Oral Tablet,40166190,865157
Bisoprolol Fumarate 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,40162875,854919
Bisoprolol Fumarate 5 MG Oral Tablet,40162878,854905
Bisoprolol Fumarate 7.5 MG Oral Tablet,40166192,865159
