Drug_Name,OMOP CUI,RxNorm CUI
Bendroflumethiazide 5 MG / Clonidine Hydrochloride 0.1 MG Oral Tablet,42707378,1233769
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.075 MG Extended Release Oral Capsule,42707380,1233782
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.1 MG Oral Tablet,40168694,884192
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.15 MG Extended Release Oral Capsule,42707381,1233783
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.2 MG Oral Tablet,40168699,884198
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.3 MG Oral Tablet,40168704,884203
Chlorthalidone 50 MG / Clonidine Hydrochloride 0.075 MG Oral Tablet,42707382,1233784
Clonidine 0.00417 MG/HR Transdermal Patch,42902909,1360022
Clonidine 0.00833 MG/HR Transdermal Patch,42903007,1360120
Clonidine 0.0125 MG/HR Transdermal Patch,42902931,1360044
Clonidine Hydrochloride 0.025 MG Oral Tablet,40169599,892791
Clonidine Hydrochloride 0.075 MG Oral Capsule,42707383,1233785
Clonidine Hydrochloride 0.075 MG Oral Tablet,42707384,1233786
Clonidine Hydrochloride 0.1 MG Extended Release Oral Tablet,40227885,1013935
Clonidine Hydrochloride 0.1 MG Oral Tablet,40168654,884173
Clonidine Hydrochloride 0.1 MG/ML Extended Release Suspension,40168658,885879
Clonidine Hydrochloride 0.1 MG/ML Injectable Solution,40168659,884221
Clonidine Hydrochloride 0.15 MG / cyclothiazide 2.5 MG Oral Tablet,42707386,1233788
Clonidine Hydrochloride 0.15 MG / Hydrochlorothiazide 5 MG / Triamterene 10 MG Oral Tablet,42707385,1233787
Clonidine Hydrochloride 0.15 MG Extended Release Oral Capsule,42707387,1233789
Clonidine Hydrochloride 0.15 MG Oral Capsule,42707388,1233790
Clonidine Hydrochloride 0.15 MG Oral Tablet,42707371,1233709
Clonidine Hydrochloride 0.15 MG/ML Injectable Solution,40169601,892793
Clonidine Hydrochloride 0.17 MG Extended Release Oral Tablet,40233125,1087323
Clonidine Hydrochloride 0.2 MG Extended Release Oral Tablet,40168663,885881
Clonidine Hydrochloride 0.2 MG Oral Tablet,40168664,884185
Clonidine Hydrochloride 0.25 MG Extended Release Oral Capsule,40169603,892795
Clonidine Hydrochloride 0.3 MG Extended Release Oral Tablet,40168668,885883
Clonidine Hydrochloride 0.3 MG Oral Capsule,40169604,892789
Clonidine Hydrochloride 0.3 MG Oral Tablet,40168669,884189
Clonidine Hydrochloride 0.5 MG/ML Injectable Solution,40168673,884225
