Drug_Name,OMOP CUI,RxNorm CUI
Chlorthalidone 12.5 MG / Metoprolol 100 MG Oral Tablet,19003734,104332
Chlorthalidone 25 MG / Metoprolol 200 MG Extended Release Oral Tablet,19107301,431608
Felodipine 5 MG / Metoprolol 47.5 MG Extended Release Oral Tablet,19107317,431674
Hydralazine 25 MG / Hydrochlorothiazide 12.5 MG / Metoprolol 50 MG Oral Tablet,19107536,432659
Hydrochlorothiazide 12.5 MG / Metoprolol 100 MG Extended Release Oral Tablet,19108129,434380
Hydrochlorothiazide 12.5 MG / Metoprolol 100 MG Oral Tablet,974431,246267
Hydrochlorothiazide 12.5 MG / Metoprolol 25 MG Oral Tablet,19125472,687068
Hydrochlorothiazide 12.5 MG / Metoprolol 50 MG Oral Tablet,19125473,687069
Hydrochlorothiazide 12.5 MG / metoprolol succinate 100 MG Extended Release Oral Tablet,40167118,866456
Hydrochlorothiazide 12.5 MG / metoprolol succinate 25 MG Extended Release Oral Tablet,40167121,866465
Hydrochlorothiazide 12.5 MG / metoprolol succinate 50 MG Extended Release Oral Tablet,40167124,866476
Hydrochlorothiazide 25 MG / Metoprolol Tartrate 100 MG Oral Tablet,40167087,866479
Hydrochlorothiazide 25 MG / Metoprolol Tartrate 200 MG Extended Release Oral Tablet,40167090,866846
Hydrochlorothiazide 25 MG / Metoprolol Tartrate 50 MG Oral Tablet,40167091,866482
Hydrochlorothiazide 50 MG / Metoprolol Tartrate 100 MG Oral Tablet,40167094,866491
Metoprolol 190 MG Oral Tablet,19011442,141833
Metoprolol 5 MG/ML Injectable Solution,19062037,250082
Metoprolol 50 MG / Nifedipine 15 MG Extended Release Oral Capsule,19103844,411867
Metoprolol 95 MG Oral Tablet,19011443,141834
metoprolol succinate 100 MG Extended Release Oral Tablet,40167200,866415
metoprolol succinate 200 MG Extended Release Oral Tablet,40167207,866422
metoprolol succinate 25 MG Extended Release Oral Tablet,40167211,866430
metoprolol succinate 50 MG Extended Release Oral Tablet,40167216,866439
Metoprolol Tartrate 1 MG/ML Injectable Solution,40167196,866508
Metoprolol Tartrate 100 MG Oral Tablet,40167202,866511
Metoprolol Tartrate 25 MG Oral Tablet,40167213,866924
Metoprolol Tartrate 37.5 MG Oral Tablet,46221722,1606347
Metoprolol Tartrate 50 MG Oral Tablet,40167218,866514
Metoprolol Tartrate 75 MG Oral Tablet,46221724,1606349
