Drug_Name,OMOP CUI,RxNorm CUI
abiraterone acetate 250 MG Oral Tablet,40239060,1100075
Acetaminophen 100 MG/ML / Diphenhydramine Hydrochloride 5 MG/ML Oral Solution,42799070,1291947
Acetaminophen 2.08 MG/ML / Diphenhydramine Hydrochloride 0.104 MG/ML / Phenylephrine Hydrochloride 0.042 MG/ML Oral Solution,46275480,1659175
Acetaminophen 2.7 MG/ML / Diphenhydramine Hydrochloride 0.104 MG/ML / Phenylephrine Hydrochloride 0.0417 MG/ML Oral Solution,42800340,1298295
Acetaminophen 2.71 MG/ML / Diphenhydramine Hydrochloride 0.104 MG/ML / Phenylephrine Hydrochloride 0.0417 MG/ML Oral Solution,40229114,1038851
Acetaminophen 200 MG / Dextromethorphan Hydrobromide 8 MG / Diphenhydramine 18.75 MG / Guaifenesin 35 MG / Phenylephrine Hydrochloride 5 MG Oral Capsule,46287285,1664631
Acetaminophen 21.7 MG/ML / Diphenhydramine Hydrochloride 0.833 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution,42800335,1298348
Acetaminophen 21.7 MG/ML / Diphenhydramine Hydrochloride 0.833 MG/ML Oral Solution,42799074,1294607
Acetaminophen 24 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution,42799077,1291948
Acetaminophen 250 MG / Aspirin 250 MG / Diphenhydramine Citrate 38 MG Oral Tablet,45775630,1593110
Acetaminophen 250 MG / Dextromethorphan Hydrobromide 15 MG / Diphenhydramine Hydrochloride 25 MG / Pseudoephedrine Hydrochloride 30 MG Oral Capsule,42799091,1291949
Acetaminophen 32 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution,40231891,1050385
Acetaminophen 32 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Suspension,42799084,1294602
Acetaminophen 32 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML / Pseudoephedrine Hydrochloride 3 MG/ML Oral Suspension,42799087,1293710
Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution,43525949,1375932
Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Suspension,46275338,1658446
Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution,42799090,1291950
Acetaminophen 325 MG / Diphenhydramine Hydrochloride 12.5 MG / Phenylephrine Hydrochloride 5 MG Oral Capsule,40241605,1146211
Acetaminophen 325 MG / Diphenhydramine Hydrochloride 12.5 MG / Phenylephrine Hydrochloride 5 MG Oral Tablet,42707333,1233575
Acetaminophen 325 MG / Diphenhydramine Hydrochloride 12.5 MG Oral Tablet,40233305,1052462
Acetaminophen 325 MG / Diphenhydramine Hydrochloride 25 MG / Phenylephrine Hydrochloride 5 MG Oral Tablet,40229097,1046751
Acetaminophen 325 MG / Diphenhydramine Hydrochloride 50 MG Oral Tablet,40236713,1093075
Acetaminophen 33.3 MG/ML / Diphenhydramine Hydrochloride 1.67 MG/ML Oral Solution,40236684,1092373
Acetaminophen 33.4 MG/ML / Diphenhydramine Hydrochloride 1.67 MG/ML / Pseudoephedrine Hydrochloride 2 MG/ML Oral Solution,42799136,1291956
Acetaminophen 500 MG / Chlorpheniramine Maleate 2 MG / Diphenhydramine Hydrochloride 25 MG / Pseudoephedrine Hydrochloride 30 MG Oral Tablet,42799158,1291957
Acetaminophen 500 MG / Diphenhydramine Citrate 38 MG Oral Capsule,42799147,1291960
Acetaminophen 500 MG / Diphenhydramine Citrate 38 MG Oral Powder,42800369,1297947
Acetaminophen 500 MG / Diphenhydramine Citrate 38 MG Oral Tablet,40237581,1099872
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 12.5 MG / Pseudoephedrine Hydrochloride 30 MG Oral Capsule,42799148,1294564
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 12.5 MG / Pseudoephedrine Hydrochloride 30 MG Oral Tablet,42799150,1294567
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 12.5 MG Oral Tablet,40233292,1052467
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 25 MG / Phenylpropanolamine Hydrochloride 25 MG Oral Tablet,42799153,1291958
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 25 MG / Pseudoephedrine Hydrochloride 30 MG Oral Tablet,42799154,1291711
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 25 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet,42800360,1298294
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 25 MG Oral Capsule,40241595,1117245
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 25 MG Oral Tablet,40236691,1092189
Acetaminophen 500 MG / Diphenhydramine Hydrochloride 50 MG Oral Tablet,40233299,1087607
Acetaminophen 575 MG / Dextromethorphan Hydrobromide 20 MG / Diphenhydramine Hydrochloride 37.5 MG / Phenylephrine Hydrochloride 10 MG Oral Tablet,42800362,1297974
Acetaminophen 575 MG / Dextromethorphan Hydrobromide 30 MG / Diphenhydramine Hydrochloride 37.5 MG / Phenylephrine Hydrochloride 18 MG Extended Release Oral Tablet,42800365,1297970
Acetaminophen 65 MG/ML / Dextromethorphan Hydrobromide 2 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution,40236672,1094131
Acetaminophen 65 MG/ML / Diphenhydramine Hydrochloride 5 MG/ML / Guaifenesin 40 MG/ML / Phenylephrine Hydrochloride 1 MG/ML Oral Solution,42799225,1291961
Acetaminophen 650 MG / Dextromethorphan Hydrobromide 30 MG / Diphenhydramine Hydrochloride 50 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet,42800412,1298288
Acetaminophen 650 MG / Diphenhydramine Citrate 50 MG Oral Powder,42799194,1291970
Acetaminophen 650 MG / Diphenhydramine Hydrochloride 25 MG / Phenylephrine Hydrochloride 10 MG Granules for Oral Solution,46275805,1659960
Acetaminophen 650 MG / Diphenhydramine Hydrochloride 25 MG / Phenylephrine Hydrochloride 10 MG Oral Tablet,40241553,1147619
Acetaminophen 650 MG / Diphenhydramine Hydrochloride 50 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet,42799195,1291854
Acetaminophen 650 MG / Diphenhydramine Hydrochloride 50 MG Oral Tablet,40236675,1093083
Acetaminophen 80 MG / Diphenhydramine Hydrochloride 6.25 MG / Pseudoephedrine Hydrochloride 7.5 MG Chewable Tablet,42799196,1293706
Allantoin 5 MG/ML / Diphenhydramine Hydrochloride 20 MG/ML Topical Cream,43525962,1420992
Aluminum Hydroxide 13.3 MG/ML / Diphenhydramine Hydrochloride 0.844 MG/ML / Lidocaine Hydrochloride 6.75 MG/ML / Magnesium Hydroxide 13.3 MG/ML / Simethicone 1.33 MG/ML Mouthwash,42708722,1248037
Amiodarone hydrochloride 1.2 MG/ML Injectable Solution,19135750,849874
Amiodarone hydrochloride 1.5 MG/ML Injection,46276340,1663272
Amiodarone hydrochloride 1.8 MG/ML Injection,46276342,1663276
Amiodarone hydrochloride 100 MG Oral Tablet,1310037,835956
Amiodarone hydrochloride 200 MG Oral Tablet,1309992,833528
