Drug_Name,OMOP CUI,RxNorm CUI
0.15 ML Epinephrine 1 MG/ML Auto-Injector,19127146,727410
0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,1344242,727316
0.3 ML Epinephrine 1 MG/ML Auto-Injector,1344243,727345
1 ML Epinephrine 1 MG/ML Injection,46275916,1660014
1.7 ML Articaine hydrochloride 40 MG/ML / Epinephrine 0.005 MG/ML Cartridge,45892245,1595029
1.7 ML Articaine hydrochloride 40 MG/ML / Epinephrine 0.01 MG/ML Cartridge,45892250,1595035
1.7 ML Epinephrine 0.005 MG/ML / Prilocaine Hydrochloride 40 MG/ML Prefilled Syringe,45892254,1595042
1.7 ML Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge,42799042,1293648
1.7 ML Epinephrine 0.02 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge,46275975,1657026
1.8 ML Articaine hydrochloride 40 MG/ML / Epinephrine 0.005 MG/ML Cartridge,46275414,1658966
1.8 ML Articaine hydrochloride 40 MG/ML / Epinephrine 0.01 MG/ML Cartridge,46276169,1661483
1.8 ML Epinephrine 0.005 MG/ML / Prilocaine Hydrochloride 40 MG/ML Prefilled Syringe,45892487,1596950
1.8 ML Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge,42799043,1293628
1.8 ML Epinephrine 0.02 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge,46275966,1657016
10 ML Epinephrine 0.1 MG/ML Prefilled Syringe,1344245,727373
Bupivacaine Hydrochloride 2.5 MG/ML / Epinephrine 0.005 MG/ML Injectable Solution,40225943,1012377
Bupivacaine Hydrochloride 5 MG/ML / Epinephrine 0.005 MG/ML Injectable Solution,40225960,1012384
Bupivacaine Hydrochloride 7.5 MG/ML / Epinephrine 0.005 MG/ML Injectable Solution,40225973,1012391
Epinephrine 0.001 MG/MG / Lidocaine Hydrochloride 0.1 MG/MG Transdermal Patch,40240717,1116626
Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 10 MG/ML Injectable Solution,40226817,1010677
Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 15 MG/ML Injectable Solution,40226820,1010683
Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injectable Solution,40226823,1010688
Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 5 MG/ML Injectable Solution,40226826,1010745
Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 10 MG/ML Injectable Solution,40226837,1010751
Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injectable Solution,40226840,1010759
Epinephrine 1 MG/ML / Lidocaine Hydrochloride 40 MG/ML / Tetracaine 5 MG/ML Topical Solution,43526160,1375970
Epinephrine 1 MG/ML Injectable Solution,19076899,310132
