Drug_Name,OMOP CUI,RxNorm CUI
24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule,40162431,856460
24 HR Propranolol Hydrochloride 160 MG Extended Release Oral Capsule,40162434,856481
24 HR Propranolol Hydrochloride 60 MG Extended Release Oral Capsule,40162436,856535
24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule,40162438,856569
Amiloride 5 MG / Hydrochlorothiazide 50 MG / Timolol 20 MG Oral Tablet,19107669,432897
Amiloride Hydrochloride 2.5 MG / Hydrochlorothiazide 25 MG / Timolol Maleate 10 MG Oral Tablet,40177821,977949
Bendroflumethiazide 2.5 MG / Timolol 10 MG Oral Tablet,19063049,250543
Bendroflumethiazide 5 MG / Nadolol 40 MG Oral Tablet,19019231,198000
Bendroflumethiazide 5 MG / Nadolol 80 MG Oral Tablet,19019232,198001
Bendroflumethiazide 5 MG / Timolol 20 MG Oral Tablet,19063050,250544
Carteolol Hydrochloride 10 MG/ML Ophthalmic Solution,40179060,978573
Carteolol Hydrochloride 2.5 MG Oral Tablet,40179064,978577
Carteolol Hydrochloride 5 MG Oral Tablet,40179070,978581
Clopamide 5 MG / Pindolol 10 MG Oral Tablet,1345882,199717
Hydrochlorothiazide 25 MG / Pindolol 10 MG Oral Tablet,974429,245854
Hydrochlorothiazide 25 MG / Propranolol Hydrochloride 40 MG Oral Tablet,40163112,856422
Hydrochlorothiazide 25 MG / Propranolol Hydrochloride 80 MG Oral Tablet,40163115,856429
Hydrochlorothiazide 25 MG / Timolol 10 MG Oral Tablet,19078139,310811
Hydrochlorothiazide 50 MG / Pindolol 10 MG Oral Tablet,974430,245855
Levobunolol Hydrochloride 2.5 MG/ML Ophthalmic Solution,40242771,1150832
Levobunolol Hydrochloride 5 MG/ML Ophthalmic Solution,40242777,1150836
Nadolol 20 MG Oral Tablet,19019236,198006
Nadolol 40 MG Oral Tablet,19019238,198007
Nadolol 80 MG Oral Tablet,19019239,198008
Penbutolol Sulfate 20 MG Oral Tablet,40243550,1191185
Pindolol 10 MG Oral Tablet,19019662,198104
Pindolol 15 MG Oral Tablet,1345861,199277
Pindolol 5 MG Oral Tablet,19019663,198105
Propranolol Hydrochloride 1 MG/ML Injectable Solution,40163307,856443
Propranolol Hydrochloride 10 MG Oral Tablet,40163312,856448
Propranolol Hydrochloride 160 MG Oral Tablet,40163328,856713
Propranolol Hydrochloride 20 MG Oral Tablet,40163333,856457
Propranolol Hydrochloride 4 MG/ML Oral Solution,40163340,856724
Propranolol Hydrochloride 4.28 MG/ML Oral Solution,44816219,1495058
Propranolol Hydrochloride 40 MG Oral Tablet,40163342,856519
Propranolol Hydrochloride 60 MG Oral Tablet,40163350,856556
Propranolol Hydrochloride 8 MG/ML Oral Solution,40163354,856733
Propranolol Hydrochloride 80 MG Oral Tablet,40163361,856578
Sotalol Hydrochloride 100 MG Oral Tablet,40173967,904561
Sotalol Hydrochloride 120 MG Oral Tablet,40173971,904567
Sotalol Hydrochloride 15 MG/ML Injectable Solution,40173977,904630
Sotalol Hydrochloride 160 MG Oral Tablet,40173979,904579
Sotalol Hydrochloride 240 MG Oral Tablet,40173987,904589
Sotalol Hydrochloride 5 MG/ML Oral Solution,45775831,1593725
Sotalol Hydrochloride 80 MG Oral Tablet,40173997,904601
Timolol 10 MG Oral Tablet,902430,198284
Timolol 20 MG Oral Tablet,902431,198285
Timolol 5 MG Oral Tablet,902452,198286
