Drug_Name,OMOP CUI,RxNorm CUI
Brimonidine tartrate 2 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,40164138,861635
dorzolamide 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,902489,313954
latanoprost 0.05 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,19101631,388054
Pilocarpine 10 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,19061454,248790
Pilocarpine 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,902459,247355
Pilocarpine 25 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,902461,249477
Pilocarpine 25 MG/ML / Timolol 7 MG/ML Ophthalmic Solution,19106023,425626
Pilocarpine 40 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,945502,247356
Timolol 1 MG/ML Ophthalmic Solution,19063473,250702
Timolol 2.5 MG/ML Ophthalmic Solution,902429,198283
Timolol 5 MG/ML Ophthalmic Solution,19079776,313409
