Drug_Name,OMOP CUI,RxNorm CUI
Acetaminophen 100 MG/ML / Oxycodone 1 MG/ML Oral Solution,19059093,243730
Acetaminophen 300 MG / Oxycodone Hydrochloride 10 MG Oral Tablet,40227590,1014599
Acetaminophen 300 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet,40227595,1037259
Acetaminophen 300 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,40227598,1014615
Acetaminophen 300 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet,40227601,1014632
Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet,40231916,1049214
Acetaminophen 325 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet,40231921,1049635
Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Capsule,40231924,1049703
Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,40231925,1049221
Acetaminophen 325 MG / Oxycodone Hydrochloride 7.5 MG Extended Release Oral Tablet,44814281,1491835
Acetaminophen 325 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet,40231932,1049225
Acetaminophen 400 MG / Oxycodone Hydrochloride 10 MG Oral Tablet,40231876,1049251
Acetaminophen 400 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet,40231879,1049257
Acetaminophen 400 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,40231882,1049260
Acetaminophen 400 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet,40231885,1049267
Acetaminophen 500 MG / Oxycodone 50 MG Oral Capsule,19123905,629032
Acetaminophen 500 MG / Oxycodone Hydrochloride 10 MG Oral Tablet,40231898,1049651
Acetaminophen 500 MG / Oxycodone Hydrochloride 5 MG Oral Capsule,40231903,1049658
Acetaminophen 500 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,40231906,1049709
Acetaminophen 500 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet,40231911,1049233
Acetaminophen 65 MG/ML / Oxycodone Hydrochloride 1 MG/ML Oral Solution,40231943,1049580
Acetaminophen 650 MG / Oxycodone Hydrochloride 10 MG Oral Tablet,40231855,1049270
Aspirin 325 MG / Oxycodone 2.5 MG Oral Tablet,1113562,432481
Aspirin 325 MG / Oxycodone Hydrochloride 2.25 MG / oxycodone terephthalate 0.19 MG Oral Tablet,1113581,724614
Aspirin 325 MG / Oxycodone Hydrochloride 2.44 MG Oral Tablet,40231964,1049716
Aspirin 325 MG / Oxycodone Hydrochloride 4.5 MG / oxycodone terephthalate 0.38 MG Oral Tablet,19124325,637540
Aspirin 325 MG / Oxycodone Hydrochloride 4.84 MG Oral Tablet,1113731,848768
Aspirin 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,40231965,1049691
Bupivacaine Hydrochloride 0.312 MG/ML / Fentanyl 0.0025 MG/ML Injectable Solution,42707336,1233587
Bupivacaine Hydrochloride 0.312 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,42707337,1233588
Bupivacaine Hydrochloride 0.375 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,40225911,1012637
Bupivacaine Hydrochloride 0.4 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,42873524,1302197
Bupivacaine Hydrochloride 0.5 MG/ML / Fentanyl 0.003 MG/ML Injectable Solution,40225913,1012649
Bupivacaine Hydrochloride 0.5 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,42707338,1233589
Bupivacaine Hydrochloride 0.625 MG/ML / Fentanyl 0.002 MG/ML Injectable Solution,40225917,1012661
Bupivacaine Hydrochloride 0.625 MG/ML / Fentanyl 0.0025 MG/ML Injectable Solution,40225918,1012663
Bupivacaine Hydrochloride 0.625 MG/ML / Fentanyl 0.003 MG/ML Injectable Solution,42707339,1233590
Bupivacaine Hydrochloride 0.625 MG/ML / Fentanyl 0.004 MG/ML Injectable Solution,40225919,1012664
Bupivacaine Hydrochloride 0.625 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,40225920,1012665
Bupivacaine Hydrochloride 0.625 MG/ML / Fentanyl 0.01 MG/ML Injectable Solution,40239709,1112459
Bupivacaine Hydrochloride 0.75 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,42707341,1233598
Bupivacaine Hydrochloride 1 MG/ML / Epinephrine 0.002 MG/ML / Fentanyl 0.003 MG/ML Injectable Solution,42707335,1233583
Bupivacaine Hydrochloride 1 MG/ML / Fentanyl 0.002 MG/ML Injectable Solution,40225925,1012668
Bupivacaine Hydrochloride 1 MG/ML / Fentanyl 0.0025 MG/ML Injectable Solution,42707342,1233599
Bupivacaine Hydrochloride 1 MG/ML / Fentanyl 0.003 MG/ML Injectable Solution,40225926,1012669
Bupivacaine Hydrochloride 1 MG/ML / Fentanyl 0.004 MG/ML Injectable Solution,40225927,1012671
Bupivacaine Hydrochloride 1 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,40225928,1012672
Bupivacaine Hydrochloride 1 MG/ML / Fentanyl 0.01 MG/ML Injectable Solution,40225929,1012677
Bupivacaine Hydrochloride 1.2 MG/ML / Fentanyl 0.002 MG/ML Injectable Solution,42707343,1233601
Bupivacaine Hydrochloride 1.25 MG/ML / Fentanyl 0.001 MG/ML Injectable Solution,43560030,1433745
Bupivacaine Hydrochloride 1.25 MG/ML / Fentanyl 0.0015 MG/ML Injectable Solution,42800440,1298095
Bupivacaine Hydrochloride 1.25 MG/ML / Fentanyl 0.002 MG/ML Injectable Solution,40225935,1012688
Bupivacaine Hydrochloride 1.25 MG/ML / Fentanyl 0.0025 MG/ML Injectable Solution,40225936,1012689
Bupivacaine Hydrochloride 1.25 MG/ML / Fentanyl 0.003 MG/ML Injectable Solution,40225937,1012695
Bupivacaine Hydrochloride 1.25 MG/ML / Fentanyl 0.004 MG/ML Injectable Solution,40225938,1012696
Bupivacaine Hydrochloride 1.25 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,40225939,1012697
Bupivacaine Hydrochloride 1.5 MG/ML / Fentanyl 0.005 MG/ML Injectable Solution,42707345,1233605
Bupivacaine Hydrochloride 2.5 MG/ML / Fentanyl 0.002 MG/ML Injectable Solution,42707346,1233606
Bupivacaine Hydrochloride 2.5 MG/ML / Fentanyl 0.02 MG/ML Injectable Solution,40225948,1012698
Droperidol 2.5 MG/ML / Fentanyl 0.05 MG/ML Injectable Solution,739327,243774
Fentanyl 0.001 MG/ML / Ropivacaine hydrochloride 1 MG/ML Injectable Solution,42707356,1233670
Fentanyl 0.001 MG/ML / Ropivacaine hydrochloride 2 MG/ML Injectable Solution,42707357,1233671
Fentanyl 0.0015 MG/ML / Ropivacaine hydrochloride 2 MG/ML Injectable Solution,44785200,1486084
Fentanyl 0.002 MG/ML / ropivacaine 0.001 MG/ML Injectable Solution,19121331,578168
Fentanyl 0.002 MG/ML / ropivacaine 0.002 MG/ML Injectable Solution,19121333,578170
Fentanyl 0.002 MG/ML / ropivacaine 0.8 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution,19135177,846366
Fentanyl 0.002 MG/ML / ropivacaine 0.8 MG/ML Injectable Solution,19135255,847127
Fentanyl 0.002 MG/ML / Ropivacaine hydrochloride 0.8 MG/ML Prefilled Syringe,43011802,1361012
