Drug_Name,OMOP CUI,RxNorm CUI
aliskiren 150 MG / valsartan 160 MG Oral Tablet,40226384,1011718
aliskiren 300 MG / valsartan 320 MG Oral Tablet,40226403,1011729
Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule,40171547,898342
Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule,40171550,898346
Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224166,999986
Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,974858,848131
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224169,999991
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,974886,848151
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet,974860,848135
Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet,19127430,730861
Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet,19127432,730866
Amlodipine 10 MG / Perindopril arginine 14 MG Oral Tablet,45892981,1600716
Amlodipine 10 MG / telmisartan 40 MG Oral Tablet,40167843,876514
Amlodipine 10 MG / telmisartan 80 MG Oral Tablet,40167846,876519
Amlodipine 10 MG / valsartan 160 MG Oral Tablet,1332525,722126
Amlodipine 10 MG / valsartan 320 MG Oral Tablet,1332526,722131
Amlodipine 2.5 MG / benazepril 5 MG Oral Capsule,19061252,248267
Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule,40171553,898350
Amlodipine 2.5 MG / Perindopril arginine 3.5 MG Oral Tablet,45892987,1600724
Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule,40171556,898353
Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule,40171559,898356
Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule,40171562,898359
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet,40224172,999967
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224175,999996
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,19135441,848140
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224178,1000001
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,974884,848145
Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet,19127433,730869
Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet,19127434,730872
Amlodipine 5 MG / Perindopril arginine 7 MG Oral Tablet,45892991,1600728
Amlodipine 5 MG / telmisartan 40 MG Oral Tablet,40167849,876524
Amlodipine 5 MG / telmisartan 80 MG Oral Tablet,40167852,876529
Amlodipine 5 MG / valsartan 160 MG Oral Tablet,1332527,722134
Amlodipine 5 MG / valsartan 320 MG Oral Tablet,1332528,722137
azilsartan medoxomil 40 MG / Chlorthalidone 12.5 MG Oral Tablet,42707639,1235144
azilsartan medoxomil 40 MG / Chlorthalidone 25 MG Oral Tablet,42707641,1235151
azilsartan medoxomil 40 MG Oral Tablet,40235487,1091646
azilsartan medoxomil 80 MG / Chlorthalidone 12.5 MG Oral Tablet,42707656,1235307
azilsartan medoxomil 80 MG Oral Tablet,40235491,1091652
