Drug_Name,OMOP CUI,RxNorm CUI
althiazide 15 MG / Spironolactone 25 MG Oral Tablet,19107515,432636
Amiloride 1 MG/ML / Hydrochlorothiazide 10 MG/ML Oral Solution,991390,251268
Amiloride 1.8 MG / Furosemide 5 MG / Indapamide 16 MG Oral Tablet,19107016,430188
Amiloride 10 MG / Furosemide 40 MG Oral Tablet,19061581,249062
Amiloride 16 MG / Furosemide 1.8 MG / Indapamide 5 MG Oral Tablet,19107015,430187
Amiloride 2 MG / Trichlormethiazide 2 MG Oral Tablet,19107596,432742
Amiloride 2.5 MG / Atenolol 50 MG / Hydrochlorothiazide 25 MG Oral Tablet,991420,432951
Amiloride 2.5 MG / Hydrochlorothiazide 25 MG / Methyldopa 250 MG Oral Tablet,19106269,427704
Amiloride 2.5 MG / Metolazone 2.5 MG Oral Tablet,19106182,427390
Amiloride 20 MG / Furosemide 40 MG Oral Tablet,19064210,251054
Amiloride 4 MG / Furosemide 40 MG Oral Tablet,956918,246528
Amiloride 5 MG / Bendroflumethiazide 2.5 MG Oral Tablet,19107491,432599
Amiloride 5 MG / Hydrochlorothiazide 50 MG / Timolol 20 MG Oral Tablet,19107669,432897
Amiloride 5 MG/ML Oral Solution,19115137,562147
Amiloride Hydrochloride 1 MG/ML Oral Solution,40177814,977887
Amiloride Hydrochloride 10 MG / Furosemide 80 MG Oral Tablet,40177816,977890
Amiloride Hydrochloride 2.5 MG / Atenolol 50 MG / Hydrochlorothiazide 25 MG Oral Capsule,40177818,977920
Amiloride Hydrochloride 2.5 MG / Cyclopenthiazide 0.25 MG Oral Tablet,40177819,977907
Amiloride Hydrochloride 2.5 MG / Furosemide 20 MG Oral Tablet,40177820,977945
Amiloride Hydrochloride 2.5 MG / Hydrochlorothiazide 25 MG / Timolol Maleate 10 MG Oral Tablet,40177821,977949
Amiloride Hydrochloride 2.5 MG / Hydrochlorothiazide 25 MG Oral Tablet,40177822,977950
Amiloride Hydrochloride 5 MG / Bumetanide 1 MG Oral Tablet,40177824,977951
Amiloride Hydrochloride 5 MG / Furosemide 40 MG Oral Tablet,40177825,977959
Amiloride Hydrochloride 5 MG / Hydrochlorothiazide 50 MG Oral Tablet,40177826,977883
Amiloride Hydrochloride 5 MG Oral Tablet,40177829,977880
Bendroflumethiazide 100 MG / Spironolactone 5 MG Oral Tablet,19107539,432663
Bendroflumethiazide 50 MG / Spironolactone 2.5 MG Oral Tablet,19107538,432662
benzthiazide 25 MG / Triamterene 50 MG Oral Capsule,19003579,104245
buthiazide 10 MG / Spironolactone 100 MG Oral Capsule,19103703,411480
buthiazide 10 MG / Spironolactone 100 MG Oral Tablet,19063475,250704
buthiazide 2.5 MG / Spironolactone 25 MG Oral Tablet,970287,249762
buthiazide 5 MG / Spironolactone 50 MG Oral Tablet,19106299,427928
Chlorthalidone 25 MG / Triamterene 50 MG Oral Tablet,19003580,104246
Chlorthalidone 50 MG / Triamterene 50 MG Oral Tablet,19003601,104248
Clonidine Hydrochloride 0.15 MG / Hydrochlorothiazide 5 MG / Triamterene 10 MG Oral Tablet,42707385,1233787
cyclothiazide 3 MG / Triamterene 150 MG Oral Tablet,19106363,428292
dehydrosanol 10 MG / Triamterene 20 MG Oral Tablet,19106899,429934
dehydrosanol 25 MG / Triamterene 50 MG Oral Capsule,19103283,409813
dehydrosanol 25 MG / Triamterene 50 MG Oral Tablet,19106898,429933
dehydrosanol 5 MG / Triamterene 10 MG Oral Tablet,19106897,429932
Furosemide 20 MG / Spironolactone 100 MG Oral Capsule,957132,251564
Furosemide 20 MG / Spironolactone 100 MG Oral Tablet,19107524,432647
Furosemide 20 MG / Spironolactone 50 MG Oral Capsule,956917,246399
Furosemide 20 MG / Spironolactone 50 MG Oral Tablet,19107523,432646
Furosemide 25 MG / Triamterene 15 MG Extended Release Oral Capsule,19103932,412043
Furosemide 40 MG / Triamterene 50 MG Oral Tablet,19063479,250708
Furosemide 50 MG / Triamterene 20 MG Oral Tablet,19107172,430625
Furosemide 50 MG / Triamterene 30 MG Extended Release Oral Capsule,19103931,412042
Hydrochlorothiazide 100 MG / Spironolactone 50 MG Oral Tablet,19106648,429195
Hydrochlorothiazide 12.5 MG / Triamterene 25 MG Oral Tablet,19106456,428603
Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet,974226,198224
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,904549,198316
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Tablet,19078140,310812
Hydrochlorothiazide 25 MG / Triamterene 50 MG / Verapamil 160 MG Oral Tablet,19107614,432769
Hydrochlorothiazide 25 MG / Triamterene 50 MG Oral Capsule,904547,198314
Hydrochlorothiazide 25 MG / Triamterene 50 MG Oral Tablet,19080037,314029
Hydrochlorothiazide 50 MG / Spironolactone 50 MG Oral Tablet,974227,198225
Hydrochlorothiazide 50 MG / Triamterene 50 MG Oral Tablet,904548,198315
Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Capsule,19078165,310817
Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Tablet,19078166,310818
Hydroflumethiazide 25 MG / Spironolactone 25 MG Oral Tablet,19062609,250376
Hydroflumethiazide 50 MG / Spironolactone 50 MG Oral Tablet,19062610,250377
Methyclothiazide 5 MG / Triamterene 150 MG Oral Tablet,19106340,428210
Metolazone 2.5 MG / Triamterene 50 MG Oral Tablet,19106274,427727
Spironolactone 1 MG/ML Oral Suspension,19003573,104230
Spironolactone 10 MG/ML Oral Suspension,19003576,104233
Spironolactone 100 MG Oral Capsule,19003577,104234
Spironolactone 100 MG Oral Tablet,970282,198222
Spironolactone 2 MG/ML Oral Suspension,19003574,104231
Spironolactone 25 MG Oral Tablet,19079658,313096
Spironolactone 5 MG/ML Oral Suspension,19003575,104232
Spironolactone 50 MG Oral Capsule,19103650,411224
Spironolactone 50 MG Oral Tablet,970283,198223
Spironolactone 50 MG/ML Topical Cream,970291,252142
Spironolactone 75 MG Oral Capsule,19103649,411223
Spironolactone 75 MG Oral Tablet,19106647,429194
Triamterene 100 MG Oral Capsule,904545,198312
Triamterene 100 MG Oral Tablet,904584,245284
Triamterene 15 MG / Xipamide 5 MG Oral Tablet,19107547,432676
Triamterene 30 MG / Xipamide 10 MG Oral Tablet,19107548,432677
Triamterene 50 MG Oral Capsule,904546,198313
Triamterene 50 MG Oral Tablet,904583,245283
