Drug_Name,OMOP CUI,RxNorm CUI
benzthiazide 25 MG / Triamterene 50 MG Oral Capsule,19003579,104245
Chlorthalidone 25 MG / Triamterene 50 MG Oral Tablet,19003580,104246
Chlorthalidone 50 MG / Triamterene 50 MG Oral Tablet,19003601,104248
Clonidine Hydrochloride 0.15 MG / Hydrochlorothiazide 5 MG / Triamterene 10 MG Oral Tablet,42707385,1233787
cyclothiazide 3 MG / Triamterene 150 MG Oral Tablet,19106363,428292
dehydrosanol 10 MG / Triamterene 20 MG Oral Tablet,19106899,429934
dehydrosanol 25 MG / Triamterene 50 MG Oral Capsule,19103283,409813
dehydrosanol 25 MG / Triamterene 50 MG Oral Tablet,19106898,429933
dehydrosanol 5 MG / Triamterene 10 MG Oral Tablet,19106897,429932
Furosemide 25 MG / Triamterene 15 MG Extended Release Oral Capsule,19103932,412043
Furosemide 40 MG / Triamterene 50 MG Oral Tablet,19063479,250708
Furosemide 50 MG / Triamterene 20 MG Oral Tablet,19107172,430625
Furosemide 50 MG / Triamterene 30 MG Extended Release Oral Capsule,19103931,412042
Hydrochlorothiazide 12.5 MG / Triamterene 25 MG Oral Tablet,19106456,428603
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,904549,198316
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Tablet,19078140,310812
Hydrochlorothiazide 25 MG / Triamterene 50 MG / Verapamil 160 MG Oral Tablet,19107614,432769
Hydrochlorothiazide 25 MG / Triamterene 50 MG Oral Capsule,904547,198314
Hydrochlorothiazide 25 MG / Triamterene 50 MG Oral Tablet,19080037,314029
Hydrochlorothiazide 50 MG / Triamterene 50 MG Oral Tablet,904548,198315
Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Capsule,19078165,310817
Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Tablet,19078166,310818
Methyclothiazide 5 MG / Triamterene 150 MG Oral Tablet,19106340,428210
Metolazone 2.5 MG / Triamterene 50 MG Oral Tablet,19106274,427727
Triamterene 100 MG Oral Capsule,904545,198312
Triamterene 100 MG Oral Tablet,904584,245284
Triamterene 15 MG / Xipamide 5 MG Oral Tablet,19107547,432676
Triamterene 30 MG / Xipamide 10 MG Oral Tablet,19107548,432677
Triamterene 50 MG Oral Capsule,904546,198313
Triamterene 50 MG Oral Tablet,904583,245283
