Drug_Name,OMOP CUI,RxNorm CUI
Acetaminophen 12 MG/ML / Promethazine 1 MG/ML Oral Suspension,19105749,422371
Acetaminophen 200 MG / Promethazine 5 MG Rectal Suppository,19105466,420873
Acetaminophen 24 MG/ML / Promethazine 0.5 MG/ML Oral Suspension,19105750,422372
Acetaminophen 24 MG/ML / Promethazine 1 MG/ML Oral Solution,1128794,755712
Acetaminophen 24 MG/ML / Promethazine 1 MG/ML Oral Suspension,19105748,422370
Acetaminophen 24 MG/ML / Promethazine Hydrochloride 0.3 MG/ML Oral Suspension,40177555,992908
Acetaminophen 400 MG / Promethazine 10 MG Rectal Suppository,19105462,420869
Acetaminophen 500 MG / Promethazine 10 MG Oral Tablet,19107592,432737
Aminophylline 320 MG / Promethazine 20 MG Rectal Suppository,19105613,421758
Amitriptyline 10 MG / Diazepam 3 MG / Perphenazine 2 MG Oral Tablet,733124,427814
Amitriptyline 15 MG / Perphenazine 3 MG Oral Tablet,710129,245388
Amitriptyline Hydrochloride 10 MG / Perphenazine 2 MG Oral Tablet,40162658,856706
Amitriptyline Hydrochloride 10 MG / Perphenazine 4 MG Oral Tablet,40162665,856720
Amitriptyline Hydrochloride 25 MG / Perphenazine 2 MG Oral Tablet,40162704,856797
Amitriptyline Hydrochloride 25 MG / Perphenazine 4 MG Oral Tablet,40162711,856825
Amitriptyline Hydrochloride 50 MG / Perphenazine 4 MG Oral Tablet,40162725,856840
aripiprazole 1 MG/ML Oral Solution,757755,485496
aripiprazole 10 MG Disintegrating Oral Tablet,19124358,643019
aripiprazole 10 MG Oral Tablet,757690,349545
aripiprazole 15 MG Disintegrating Oral Tablet,19124360,643022
aripiprazole 15 MG Oral Tablet,19096776,349490
aripiprazole 2 MG Oral Tablet,19122479,602964
aripiprazole 20 MG Disintegrating Oral Tablet,19124362,643027
aripiprazole 20 MG Oral Tablet,757712,349553
aripiprazole 200 MG/ML Prefilled Syringe,45892183,1602169
aripiprazole 30 MG Disintegrating Oral Tablet,19124368,643058
aripiprazole 30 MG Oral Tablet,757691,349547
aripiprazole 300 MG Injection,46275769,1659816
aripiprazole 400 MG Injection,46275765,1659812
aripiprazole 5 MG Oral Tablet,19102213,402131
aripiprazole 7.5 MG/ML Injection,46275750,1659786
Asenapine 10 MG Sublingual Tablet,40164054,859975
Asenapine 2.5 MG Sublingual Tablet,46221719,1606337
Asenapine 5 MG Sublingual Tablet,40164058,859981
Aspirin 356.4 MG / Caffeine 30 MG / dihydrocodeine bitartrate 16 MG / Promethazine Hydrochloride 6.25 MG Oral Capsule,42707785,1236208
Aspirin 600 MG / Promethazine Hydrochloride 6.2 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet,43531724,1424677
brexpiprazole 0.25 MG Oral Tablet,46275303,1658319
brexpiprazole 0.5 MG Oral Tablet,46275309,1658327
brexpiprazole 1 MG Oral Tablet,46275313,1658331
brexpiprazole 2 MG Oral Tablet,46275317,1658335
brexpiprazole 3 MG Oral Tablet,46275321,1658339
brexpiprazole 4 MG Oral Tablet,46275325,1658343
buzepide metiodide 3 MG / Haloperidol 0.3 MG Oral Tablet,19107473,432555
Carbocysteine 20 MG/ML / Promethazine 0.5 MG/ML Oral Solution,19128742,755605
Chlorpromazine,794852,2403
Chlorpromazine / Dipyrone Injectable Solution,40030061,439091
Chlorpromazine / Dipyrone Oral Solution,40030062,371926
Chlorpromazine / Dipyrone Oral Tablet,40030063,439095
Chlorpromazine 100 MG,794917,315645
Chlorpromazine 100 MG [Largactil],19117365,565606
Chlorpromazine 100 MG [Thorazine],40179618,992692
Chlorpromazine 100 MG Rectal Suppository,19021009,199023
Chlorpromazine 100 MG Rectal Suppository [Largactil],19024323,200959
Chlorpromazine 100 MG Rectal Suppository [Thorazine],40179617,992693
Chlorpromazine 2 MG/ML,794920,329426
Chlorpromazine 2 MG/ML / Dipyrone 200 MG/ML Injectable Solution,19104185,413073
Chlorpromazine 25 MG,40179619,992688
Chlorpromazine 25 MG [Thorazine],40179622,992690
Chlorpromazine 25 MG Rectal Suppository,40179620,992689
Chlorpromazine 25 MG Rectal Suppository [Thorazine],40179621,992691
Chlorpromazine 28.8 MG/ML,19094217,340381
Chlorpromazine 28.8 MG/ML Oral Solution,19064402,251203
Chlorpromazine 3 MG,19109601,439094
Chlorpromazine 3 MG / Dipyrone 500 MG Oral Tablet,19107231,430794
Chlorpromazine 300 MG,40179623,992697
Chlorpromazine 300 MG Rectal Suppository,40179624,992699
Chlorpromazine 40 MG/ML,19088816,332807
Chlorpromazine 40 MG/ML Oral Solution,794881,245376
Chlorpromazine 5 MG/ML,794938,331686
Chlorpromazine 5 MG/ML Injectable Solution,794893,251638
Chlorpromazine 50 MG,40179625,992700
Chlorpromazine 50 MG Rectal Suppository,40179626,992701
Chlorpromazine 50 MG/ML,19109282,438505
Chlorpromazine 50 MG/ML Injectable Solution,19104489,415360
Chlorpromazine 6 MG/ML,794941,334598
Chlorpromazine 6 MG/ML / Dipyrone 500 MG/ML Oral Solution,794894,252162
Chlorpromazine Delayed Release Oral Tablet,40030418,484478
Chlorpromazine Extended Release Oral Capsule,40030419,371459
Chlorpromazine Extended Release Oral Capsule [Thorazine],40179627,991342
Chlorpromazine hydrochloride 10 MG,40179633,991038
Chlorpromazine hydrochloride 10 MG [Thorazine],40179637,991040
Chlorpromazine hydrochloride 10 MG Delayed Release Oral Tablet,40179634,991236
Chlorpromazine hydrochloride 10 MG Oral Tablet,40179635,991039
Chlorpromazine hydrochloride 10 MG Oral Tablet [Thorazine],40179636,991041
Chlorpromazine hydrochloride 10 MG/ML,40179638,991237
Chlorpromazine hydrochloride 10 MG/ML Oral Solution,40179639,991238
Chlorpromazine hydrochloride 100 MG,40179640,991043
Chlorpromazine hydrochloride 100 MG [Thorazine],40179656,991045
Chlorpromazine hydrochloride 100 MG Delayed Release Oral Tablet,40179641,991239
Chlorpromazine hydrochloride 100 MG Oral Tablet,40179642,991044
Chlorpromazine hydrochloride 100 MG Oral Tablet [Thorazine],40179655,991046
Chlorpromazine hydrochloride 100 MG/ML,40179657,991052
Chlorpromazine hydrochloride 100 MG/ML [Thorazine],40179660,991054
Chlorpromazine hydrochloride 100 MG/ML Oral Solution,40179658,991053
Chlorpromazine hydrochloride 100 MG/ML Oral Solution [Thorazine],40179659,991055
Chlorpromazine hydrochloride 150 MG,40179661,991070
Chlorpromazine hydrochloride 150 MG [Thorazine],40179664,992705
Chlorpromazine hydrochloride 150 MG Extended Release Oral Capsule,40179662,991071
Chlorpromazine hydrochloride 150 MG Extended Release Oral Capsule [Thorazine],40179663,992706
Chlorpromazine hydrochloride 2 MG/ML,40179665,991183
Chlorpromazine hydrochloride 2 MG/ML [Thorazine],40179668,991185
Chlorpromazine hydrochloride 2 MG/ML Oral Solution,40179666,991184
Chlorpromazine hydrochloride 2 MG/ML Oral Solution [Thorazine],40179667,991186
Chlorpromazine hydrochloride 20 MG/ML,40179669,991240
Chlorpromazine hydrochloride 20 MG/ML Oral Solution,40179670,991241
Chlorpromazine hydrochloride 20 MG/ML Oral Suspension,40179671,991344
Chlorpromazine hydrochloride 200 MG,40179672,991187
Chlorpromazine hydrochloride 200 MG [Thorazine],40179677,991189
Chlorpromazine hydrochloride 200 MG Delayed Release Oral Tablet,40179673,991345
Chlorpromazine hydrochloride 200 MG Extended Release Oral Capsule,40179674,991346
Chlorpromazine hydrochloride 200 MG Oral Tablet,40179675,991188
Chlorpromazine hydrochloride 200 MG Oral Tablet [Thorazine],40179676,991190
Chlorpromazine hydrochloride 25 MG,40179678,991193
Chlorpromazine hydrochloride 25 MG [Thorazine],40179682,991195
Chlorpromazine hydrochloride 25 MG Delayed Release Oral Tablet,40179679,991359
Chlorpromazine hydrochloride 25 MG Oral Tablet,40179680,991194
Chlorpromazine hydrochloride 25 MG Oral Tablet [Thorazine],40179681,991196
Chlorpromazine hydrochloride 25 MG/ML,40179683,991212
Chlorpromazine hydrochloride 25 MG/ML [Largactil],40227901,1036829
Chlorpromazine hydrochloride 25 MG/ML [Ormazine],40179687,991214
Chlorpromazine hydrochloride 25 MG/ML [Thorazine],40179688,991234
Chlorpromazine hydrochloride 25 MG/ML Injectable Solution,40179684,991213
Chlorpromazine hydrochloride 25 MG/ML Injectable Solution [Largactil],19010676,108891
Chlorpromazine hydrochloride 25 MG/ML Injectable Solution [Ormazine],40179685,991215
Chlorpromazine hydrochloride 25 MG/ML Injectable Solution [Thorazine],40179686,991235
Chlorpromazine hydrochloride 30 MG,40179689,991327
Chlorpromazine hydrochloride 30 MG [Thorazine],40179692,992707
Chlorpromazine hydrochloride 30 MG Extended Release Oral Capsule,40179690,991328
Chlorpromazine hydrochloride 30 MG Extended Release Oral Capsule [Thorazine],40179691,992708
Chlorpromazine hydrochloride 30 MG/ML,40179693,991331
Chlorpromazine hydrochloride 30 MG/ML [Thorazine],40179696,991333
