Drug_Name,OMOP CUI,RxNorm CUI
aripiprazole,757688,89013
Asenapine,40164052,784649
brexpiprazole,46275300,1658314
Chlorpromazine,794852,2403
Fluphenazine,756018,4496
Haloperidol,766529,5093
iloperidone,19017241,73178
Loxapine,792263,6475
lurasidone,40230761,1040028
Mesoridazine,703083,6779
olanzapine,785788,61381
paliperidone,703244,679314
Perphenazine,733008,8076
Promethazine,1153013,8745
quetiapine,766814,51272
Risperidone,735979,35636
Thiethylperazine,1037358,10471
Thioridazine,700299,10502
Trifluoperazine,704984,10800
ziprasidone,712615,115698
