Drug_Name,OMOP CUI,RxNorm CUI
Acetaminophen 500 MG / Metoclopramide 5 MG Oral Capsule,19103474,410585
Acetaminophen 500 MG / Metoclopramide 5 MG Oral Tablet,906890,251454
cinametic acid 200 MG / Metoclopramide 10 MG / Simethicone 60 MG Oral Tablet,19106112,427152
Diazepam 2 MG / Metoclopramide 10 MG / Simethicone 200 MG Oral Tablet,723098,252268
Diazepam 2 MG / Metoclopramide 10 MG / Simethicone 40 MG Oral Tablet,19107235,430800
Metoclopramide 0.66 MG/ML Oral Suspension,906810,246578
Metoclopramide 1 MG/ML Oral Solution,19005929,104884
Metoclopramide 1 MG/ML Prefilled Syringe,42902526,1359639
Metoclopramide 10 MG / Pancreatin 100 MG / Simethicone 40 MG Oral Capsule,19103717,411547
Metoclopramide 10 MG / Pancreatin 200 MG / Simethicone 800 MG Oral Tablet,19107834,433545
Metoclopramide 10 MG / Pancreatin 250 MG / Simethicone 200 MG Oral Capsule,19103716,411546
Metoclopramide 10 MG / Papain 300 MG / Simethicone 40 MG Oral Capsule,19103445,410535
Metoclopramide 10 MG / Simethicone 40 MG Oral Capsule,19103721,411553
Metoclopramide 10 MG / Simethicone 60 MG Oral Tablet,19063440,250699
Metoclopramide 10 MG Disintegrating Oral Tablet,19123253,608623
Metoclopramide 10 MG Oral Capsule,906809,246577
Metoclopramide 10 MG Oral Tablet,906891,311666
Metoclopramide 10 MG Rectal Suppository,19061972,250027
Metoclopramide 10 MG Sublingual Tablet,906969,446417
Metoclopramide 10 MG/ML Injectable Solution,906805,243556
Metoclopramide 10 MG/ML Oral Solution,906932,311667
Metoclopramide 15 MG / Pancreatin 60 MG / Pepsin A 15 MG Oral Capsule,906968,411239
Metoclopramide 15 MG Extended Release Oral Capsule,19063009,250533
Metoclopramide 15 MG Extended Release Oral Tablet,19063501,250712
Metoclopramide 2 MG/ML Oral Solution,19061585,249071
Metoclopramide 2.6 MG/ML Oral Solution,19063104,250560
Metoclopramide 20 MG Extended Release Oral Capsule,906806,246218
Metoclopramide 20 MG Extended Release Oral Tablet,906811,248326
Metoclopramide 20 MG Rectal Suppository,19105566,421578
Metoclopramide 20 MG/ML Injectable Solution,19060297,246220
Metoclopramide 25 MG Extended Release Oral Capsule,19103897,411995
Metoclopramide 30 MG Extended Release Oral Capsule,19063195,250605
Metoclopramide 4 MG/ML Oral Solution,906807,246219
Metoclopramide 5 MG / Pancreatin 212 MG Oral Tablet,19106091,427061
Metoclopramide 5 MG / Simethicone 250 MG Chewable Tablet,19107770,433241
Metoclopramide 5 MG Disintegrating Oral Tablet,19123254,608624
Metoclopramide 5 MG Oral Tablet,906933,311668
Metoclopramide 5 MG Rectal Suppository,19061971,250026
Metoclopramide 5 MG/ML Injectable Solution,19078921,311670
Metoclopramide 5 MG/ML Prefilled Syringe,42902426,1359539
Metoclopramide Hydrochloride 5 MG/ML Oral Solution,43532946,1431136
