"drug_name","omop_cui","rxnorm_cui"
Cisplatin 1 MG/ML Injectable Solution,19075392,"309311"
Cisplatin 50 MG Injection,35604087,"1736854"
Cisplatin 50 MG Injection [Platinol],35604090,"1736857"
Cyclophosphamide 500 MG Injection,35606512,"1734917"
Cyclophosphamide 1000 MG Injection,35606514,"1734919"
Cyclophosphamide 2000 MG Injection,35606516,"1734921"
Cyclophosphamide 25 MG Oral Capsule,43560510,"1437968"
Cyclophosphamide 50 MG Oral Capsule,43560511,"1437969"
"1 ML Vincristine Sulfate 1 MG/ML Injection",1592862,"1863343"
"1 ML Vincristine Sulfate 1 MG/ML Injection [Vincasar]",1593009,"1863347"
"2 ML Vincristine Sulfate 1 MG/ML Injection",1593013,"1863354"
"2 ML Vincristine Sulfate 1 MG/ML Injection [Vincasar]",1593014,"1863355"
