"condition_name","omop_cui","vocabulary_cui","vocabulary_name"
"Malignant mast cell neoplasm, unspecified",1326484,C96.20,ICD10CM
Aggressive systemic mastocytosis,1326485,C96.21,ICD10CM
Mast cell sarcoma,1326486,C96.22,ICD10CM
Other malignant mast cell neoplasm,1326487,C96.29,ICD10CM
Malignant neoplasm of left main bronchus,45532899,C34.02,ICD10CM
"Basal cell carcinoma of skin of unspecified eyelid, including canthus",45532904,C44.111,ICD10CM
Basal cell carcinoma of skin of other and unspecified parts of face,45532905,C44.31,ICD10CM
Unspecified malignant neoplasm of skin of scalp and neck,45532907,C44.40,ICD10CM
"Basal cell carcinoma of skin of right lower limb, including hip",45532908,C44.712,ICD10CM
"Squamous cell carcinoma of skin of right lower limb, including hip",45532909,C44.722,ICD10CM
"Basal cell carcinoma of skin, unspecified",45532910,C44.91,ICD10CM
Malignant neoplasm of central portion of right female breast,45532911,C50.111,ICD10CM
Malignant neoplasm of central portion of right male breast,45532912,C50.121,ICD10CM
Malignant neoplasm of left ovary,45532915,C56.2,ICD10CM
Malignant neoplasm of unspecified round ligament,45532916,C57.20,ICD10CM
"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",45532919,C62.90,ICD10CM
"Malignant neoplasm of left testis, unspecified whether descended or undescended",45532920,C62.92,ICD10CM
Malignant neoplasm of unspecified epididymis,45532921,C63.00,ICD10CM
Malignant neoplasm of right ureter,45532923,C66.1,ICD10CM
Malignant neoplasm of right conjunctiva,45532926,C69.01,ICD10CM
Malignant neoplasm of right choroid,45532927,C69.31,ICD10CM
Malignant neoplasm of left lacrimal gland and duct,45532928,C69.52,ICD10CM
Malignant neoplasm of cortex of left adrenal gland,45532932,C74.02,ICD10CM
Secondary malignant neoplasm of other parts of nervous system,45532937,C79.49,ICD10CM
Secondary malignant neoplasm of other specified sites,45532939,C79.89,ICD10CM
"Secondary carcinoid tumors, unspecified site",45532940,C7B.00,ICD10CM
Secondary carcinoid tumors of peritoneum,45532941,C7B.04,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",45532942,C81.14,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",45532943,C81.44,ICD10CM
"Follicular lymphoma grade I, lymph nodes of head, face, and neck",45532944,C82.01,ICD10CM
"Follicular lymphoma grade I, lymph nodes of multiple sites",45532945,C82.08,ICD10CM
"Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb",45532947,C82.34,ICD10CM
"Follicular lymphoma grade IIIb, intra-abdominal lymph nodes",45532948,C82.43,ICD10CM
"Cutaneous follicle center lymphoma, intrathoracic lymph nodes",45532949,C82.62,ICD10CM
"Other types of follicular lymphoma, lymph nodes of multiple sites",45532950,C82.88,ICD10CM
"Other non-follicular lymphoma, unspecified site",45532951,C83.80,ICD10CM
"Other non-follicular lymphoma, extranodal and solid organ sites",45532952,C83.89,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, unspecified site",45532953,C84.90,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",45532954,C84.96,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",45532955,C84.A4,ICD10CM
Prolymphocytic leukemia of B-cell type not having achieved remission,45532958,C91.30,ICD10CM
"Acute myeloblastic leukemia, in relapse",45532959,C92.02,ICD10CM
"Myeloid sarcoma, not having achieved remission",45532960,C92.30,ICD10CM
"Acute promyelocytic leukemia, not having achieved remission",45532961,C92.40,ICD10CM
Acute myeloid leukemia with 11q23-abnormality in relapse,45532962,C92.62,ICD10CM
"Acute myeloid leukemia with multilineage dysplasia, in relapse",45532963,C92.A2,ICD10CM
"Mast cell leukemia, in relapse",45532964,C94.32,ICD10CM
"Chronic leukemia of unspecified cell type, in relapse",45532965,C95.12,ICD10CM
Malignant neoplasm of overlapping sites of unspecified parts of mouth,45537790,C06.80,ICD10CM
Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,45537802,C40.80,ICD10CM
"Basal cell carcinoma of skin of eyelid, including canthus",45537807,C44.11,ICD10CM
Unspecified malignant neoplasm of skin of other parts of face,45537808,C44.309,ICD10CM
Squamous cell carcinoma of skin of other parts of face,45537809,C44.329,ICD10CM
Squamous cell carcinoma of skin of scalp and neck,45537810,C44.42,ICD10CM
Other specified malignant neoplasm of anal skin,45537811,C44.590,ICD10CM
Other specified malignant neoplasm of skin of other part of trunk,45537812,C44.599,ICD10CM
"Other specified malignant neoplasm of skin, unspecified",45537813,C44.99,ICD10CM
Merkel cell carcinoma of unspecified ear and external auricular canal,45537819,C4A.20,ICD10CM
Malignant neoplasm of central portion of left female breast,45537820,C50.112,ICD10CM
Malignant neoplasm of upper-outer quadrant of right female breast,45537821,C50.411,ICD10CM
Malignant neoplasm of lower-outer quadrant of unspecified male breast,45537822,C50.529,ICD10CM
Malignant neoplasm of axillary tail of unspecified male breast,45537823,C50.629,ICD10CM
Malignant neoplasm of overlapping sites of unspecified male breast,45537824,C50.829,ICD10CM
Malignant neoplasm of right renal pelvis,45537828,C65.1,ICD10CM
Malignant neoplasm of right cornea,45537832,C69.11,ICD10CM
Malignant neoplasm of unspecified site of unspecified eye,45537833,C69.90,ICD10CM
Malignant neoplasm of unspecified site of right eye,45537834,C69.91,ICD10CM
Secondary malignant neoplasm of right lung,45537840,C78.01,ICD10CM
Secondary malignant neoplasm of other urinary organs,45537842,C79.19,ICD10CM
Secondary malignant neoplasm of cerebral meninges,45537843,C79.32,ICD10CM
Malignant poorly differentiated neuroendocrine tumors,45537844,C7A.1,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",45537846,C81.16,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",45537847,C81.18,ICD10CM
"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45537848,C81.25,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",45537849,C81.32,ICD10CM
"Follicular lymphoma grade I, intrathoracic lymph nodes",45537850,C82.02,ICD10CM
"Follicular lymphoma grade II, lymph nodes of head, face, and neck",45537851,C82.11,ICD10CM
"Follicular lymphoma grade II, lymph nodes of multiple sites",45537852,C82.18,ICD10CM
"Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes",45537853,C82.22,ICD10CM
"Follicular lymphoma grade IIIb, spleen",45537854,C82.47,ICD10CM
"Diffuse follicle center lymphoma, spleen",45537855,C82.57,ICD10CM
"Diffuse follicle center lymphoma, lymph nodes of multiple sites",45537856,C82.58,ICD10CM
"Diffuse follicle center lymphoma, extranodal and solid organ sites",45537857,C82.59,ICD10CM
"Small cell B-cell lymphoma, intrathoracic lymph nodes",45537858,C83.02,ICD10CM
"Small cell B-cell lymphoma, extranodal and solid organ sites",45537859,C83.09,ICD10CM
"Burkitt lymphoma, spleen",45537860,C83.77,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45537861,C83.95,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, spleen",45537862,C83.97,ICD10CM
"Sezary disease, lymph nodes of inguinal region and lower limb",45537863,C84.15,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites",45537865,C84.68,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes",45537866,C84.73,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45537867,C84.A5,ICD10CM
"Unspecified B-cell lymphoma, intrapelvic lymph nodes",45537868,C85.16,ICD10CM
"Other specified types of non-Hodgkin lymphoma, spleen",45537869,C85.87,ICD10CM
"Non-Hodgkin lymphoma, unspecified, spleen",45537870,C85.97,ICD10CM
Solitary plasmacytoma not having achieved remission,45537872,C90.30,ICD10CM
Prolymphocytic leukemia of T-cell type not having achieved remission,45537874,C91.60,ICD10CM
"Mature B-cell leukemia Burkitt-type, in remission",45537875,C91.A1,ICD10CM
Other myeloid leukemia not having achieved remission,45537877,C92.Z0,ICD10CM
"Acute monoblastic/monocytic leukemia, in relapse",45537878,C93.02,ICD10CM
Malignant melanoma of other part of trunk,45552252,C43.59,ICD10CM
Basal cell carcinoma of skin of lip,45552253,C44.01,ICD10CM
Squamous cell carcinoma of skin of left ear and external auricular canal,45552254,C44.229,ICD10CM
"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",45552255,C44.621,ICD10CM
Kaposi's sarcoma of unspecified lung,45552256,C46.50,ICD10CM
"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",45552259,C49.20,ICD10CM
"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",45552260,C49.22,ICD10CM
Malignant neoplasm of overlapping sites of unspecified female breast,45552262,C50.819,ICD10CM
Malignant neoplasm of left spermatic cord,45552267,C63.12,ICD10CM
Malignant neoplasm of right retina,45552273,C69.21,ICD10CM
Malignant neoplasm of left orbit,45552274,C69.62,ICD10CM
Malignant neoplasm of right optic nerve,45552276,C72.31,ICD10CM
Malignant neoplasm of medulla of left adrenal gland,45552278,C74.12,ICD10CM
Secondary malignant neoplasm of left lung,45552281,C78.02,ICD10CM
Secondary malignant neoplasm of right kidney and renal pelvis,45552283,C79.01,ICD10CM
Secondary malignant neoplasm of bone,45552285,C79.51,ICD10CM
Secondary malignant neoplasm of bone marrow,45552286,C79.52,ICD10CM
Malignant carcinoid tumor of the ileum,45552287,C7A.012,ICD10CM
Malignant carcinoid tumor of the kidney,45552288,C7A.093,ICD10CM
Secondary carcinoid tumors of distant lymph nodes,45552289,C7B.01,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",45552290,C81.02,ICD10CM
"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",45552291,C81.21,ICD10CM
"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",45552292,C81.26,ICD10CM
"Other Hodgkin lymphoma, intrathoracic lymph nodes",45552294,C81.72,ICD10CM
"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45552295,C81.75,ICD10CM
"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45552296,C81.95,ICD10CM
"Follicular lymphoma grade II, unspecified site",45552297,C82.10,ICD10CM
"Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck",45552298,C82.31,ICD10CM
"Follicular lymphoma, unspecified, unspecified site",45552300,C82.90,ICD10CM
"Follicular lymphoma, unspecified, intrapelvic lymph nodes",45552301,C82.96,ICD10CM
"Follicular lymphoma, unspecified, lymph nodes of multiple sites",45552302,C82.98,ICD10CM
"Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes",45552303,C83.52,ICD10CM
"Other non-follicular lymphoma, lymph nodes of axilla and upper limb",45552304,C83.84,ICD10CM
"Mycosis fungoides, lymph nodes of inguinal region and lower limb",45552305,C84.05,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, intra-abdominal lymph nodes",45552306,C84.63,ICD10CM
"Other mature T/NK-cell lymphomas, lymph nodes of multiple sites",45552307,C84.Z8,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites",45552308,C85.28,ICD10CM
"Prolymphocytic leukemia of B-cell type, in relapse",45552311,C91.32,ICD10CM
"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",45552313,C91.51,ICD10CM
"Myeloid sarcoma, in remission",45552314,C92.31,ICD10CM
"Juvenile myelomonocytic leukemia, in remission",45552315,C93.31,ICD10CM
"Acute panmyelosis with myelofibrosis, in remission",45552316,C94.41,ICD10CM
"Acute leukemia of unspecified cell type, in relapse",45552317,C95.02,ICD10CM
Malignant neoplasm of overlapping sites of unspecified bronchus and lung,45542591,C34.80,ICD10CM
Malignant neoplasm of scapula and long bones of right upper limb,45542593,C40.01,ICD10CM
Malignant neoplasm of short bones of left upper limb,45542594,C40.12,ICD10CM
Malignant neoplasm of long bones of unspecified lower limb,45542595,C40.20,ICD10CM
Malignant melanoma of nose,45542598,C43.31,ICD10CM
"Malignant melanoma of right lower limb, including hip",45542599,C43.71,ICD10CM
Unspecified malignant neoplasm of skin of lip,45542600,C44.00,ICD10CM
Other specified malignant neoplasm of skin of lip,45542601,C44.09,ICD10CM
Unspecified malignant neoplasm of skin of left ear and external auricular canal,45542602,C44.209,ICD10CM
Other specified malignant neoplasm of skin of nose,45542603,C44.391,ICD10CM
Basal cell carcinoma of skin of breast,45542604,C44.511,ICD10CM
Squamous cell carcinoma of skin of breast,45542605,C44.521,ICD10CM
Squamous cell carcinoma of skin of other part of trunk,45542606,C44.529,ICD10CM
Other specified malignant neoplasm of overlapping sites of skin,45542607,C44.89,ICD10CM
"Unspecified malignant neoplasm of skin, unspecified",45542608,C44.90,ICD10CM
"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",45542609,C47.10,ICD10CM
Merkel cell carcinoma of left ear and external auricular canal,45542612,C4A.22,ICD10CM
"Malignant neoplasm of nipple and areola, unspecified male breast",45542613,C50.029,ICD10CM
Malignant neoplasm of unspecified ovary,45542615,C56.9,ICD10CM
Malignant neoplasm of left conjunctiva,45542617,C69.02,ICD10CM
Malignant neoplasm of overlapping sites of right bronchus and lung,45547486,C34.81,ICD10CM
Malignant neoplasm of short bones of unspecified upper limb,45547487,C40.10,ICD10CM
Malignant neoplasm of short bones of right lower limb,45547488,C40.31,ICD10CM
Malignant neoplasm of unspecified orbit,45542619,C69.60,ICD10CM
Malignant neoplasm of right olfactory nerve,45542622,C72.21,ICD10CM
Malignant neoplasm of medulla of unspecified adrenal gland,45542623,C74.10,ICD10CM
Secondary malignant neoplasm of unspecified respiratory organ,45542628,C78.30,ICD10CM
Secondary malignant neoplasm of right ovary,45542629,C79.61,ICD10CM
Secondary malignant neoplasm of breast,45542630,C79.81,ICD10CM
Other malignant neuroendocrine tumors,45542631,C7A.8,ICD10CM
Secondary carcinoid tumors of liver,45542632,C7B.02,ICD10CM
Secondary carcinoid tumors of bone,45542633,C7B.03,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",45542634,C81.09,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",45542635,C81.13,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",45542636,C81.39,ICD10CM
"Follicular lymphoma grade I, intra-abdominal lymph nodes",45542637,C82.03,ICD10CM
"Follicular lymphoma grade IIIa, intrathoracic lymph nodes",45542639,C82.32,ICD10CM
"Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck",45542640,C82.41,ICD10CM
"Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb",45542641,C82.45,ICD10CM
"Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb",45542642,C82.54,ICD10CM
"Other types of follicular lymphoma, intrathoracic lymph nodes",45542643,C82.82,ICD10CM
"Other types of follicular lymphoma, intrapelvic lymph nodes",45542644,C82.86,ICD10CM
"Follicular lymphoma, unspecified, lymph nodes of head, face, and neck",45542645,C82.91,ICD10CM
"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",45542647,C83.33,ICD10CM
