"drug_name","omop_cui","rxnorm_cui"
Hydrochlorothiazide 25 MG / Triamterene 50 MG Oral Capsule,904547,"198314"
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,904549,"198316"
Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Tablet [Maxzide],904597,"93252"
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Tablet [Maxzide],904598,"93253"
Captopril 25 MG / Hydrochlorothiazide 15 MG Oral Tablet,974169,"197436"
Captopril 25 MG / Hydrochlorothiazide 25 MG Oral Tablet,974170,"197437"
Captopril 50 MG / Hydrochlorothiazide 15 MG Oral Tablet,974171,"197438"
Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet,974192,"197439"
Hydrochlorothiazide 12.5 MG / Lisinopril 10 MG Oral Tablet,974199,"197885"
Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet,974200,"197886"
Hydrochlorothiazide 25 MG / Lisinopril 20 MG Oral Tablet,974201,"197887"
Hydrochlorothiazide 15 MG / Methyldopa 250 MG Oral Tablet,974225,"197963"
Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet,974226,"198224"
Hydrochlorothiazide 12.5 MG Oral Capsule [Microzide],974423,"211759"
Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet,974473,"283316"
Hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet,974474,"283317"
Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,974620,"349353"
eprosartan 600 MG / Hydrochlorothiazide 25 MG Oral Tablet [Teveten HCT],974648,"352336"
Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet,974677,"485471"
candesartan cilexetil 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,974702,"578325"
Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Micardis-HCT],974739,"749833"
Hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT],974740,"749837"
Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT],974741,"749841"
Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Avalide],974826,"823934"
Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Avalide],974827,"823938"
Hydrochlorothiazide 25 MG / Lisinopril 20 MG Oral Tablet [Zestoretic],974852,"823971"
Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet [Zestoretic],974853,"823982"
Hydrochlorothiazide 12.5 MG / Lisinopril 10 MG Oral Tablet [Zestoretic],974854,"823986"
Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,974858,"848131"
Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],974859,"848134"
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet,974860,"848135"
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Exforge HCT],974861,"848139"
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],974883,"848144"
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,974884,"848145"
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],974885,"848149"
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,974886,"848151"
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],974887,"848155"
Hydrochlorothiazide 50 MG Oral Tablet,19019044,"197770"
Hydrochlorothiazide 25 MG / Methyldopa 250 MG Oral Tablet,19019157,"197960"
Hydrochlorothiazide 12.5 MG Oral Capsule,19022486,"199903"
Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet,19023453,"200284"
Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,19023454,"200285"
Hydrochlorothiazide 25 MG / Lisinopril 20 MG Oral Tablet [Prinzide],19037085,"207965"
Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet [Aldactazide],19037488,"208112"
Hydrochlorothiazide 50 MG / Spironolactone 50 MG Oral Tablet [Aldactazide],19037521,"208116"
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule [Dyazide],19037528,"208124"
Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet,19078080,"310792"
Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet,19078101,"310793"
Hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet,19078104,"310796"
Hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet,19078105,"310797"
Hydrochlorothiazide 25 MG Oral Tablet,19078106,"310798"
Hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet,19078137,"310809"
Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Tablet,19078140,"310812"
Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Tablet,19078166,"310818"
Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet,19102491,"403853"
Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,19102492,"403854"
Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,19102493,"403855"
Hydrochlorothiazide 12.5 MG Oral Tablet,19106768,"429503"
Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet,19112606,"477130"
candesartan cilexetil 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,19121339,"578330"
Hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet,19124246,"636042"
Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet,19124247,"636045"
candesartan cilexetil 32 MG / Hydrochlorothiazide 25 MG Oral Tablet,19131518,"802749"
candesartan cilexetil 32 MG / Hydrochlorothiazide 25 MG Oral Tablet [Atacand HCT],19131969,"805855"
candesartan cilexetil 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT],19131971,"805859"
candesartan cilexetil 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT],19131973,"805863"
Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [Diovan HCT],19132612,"809014"
Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Diovan HCT],19132614,"809018"
Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Diovan HCT],19132616,"809022"
Hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet [Diovan HCT],19132618,"809026"
