"drug_name","omop_cui","rxnorm_cui"
quetiapine 25 MG Oral Tablet [Seroquel],766815,"153638"
quetiapine 100 MG Oral Tablet [Seroquel],766816,"153639"
quetiapine 100 MG Oral Tablet,766819,"312743"
quetiapine 25 MG Oral Tablet,766820,"312744"
quetiapine 300 MG Oral Tablet,766821,"312745"
quetiapine 200 MG Oral Tablet,766842,"317174"
quetiapine 400 MG Oral Tablet,766850,"616483"
quetiapine 400 MG Oral Tablet [Seroquel],766851,"616485"
quetiapine 50 MG Oral Tablet,766923,"616487"
quetiapine 50 MG Oral Tablet [Seroquel],766924,"616489"
"24 HR quetiapine 200 MG Extended Release Oral Tablet",766925,"721791"
"24 HR quetiapine 200 MG Extended Release Oral Tablet [Seroquel]",766926,"721793"
"24 HR quetiapine 300 MG Extended Release Oral Tablet",766927,"721794"
"24 HR quetiapine 300 MG Extended Release Oral Tablet [Seroquel]",766928,"721795"
"24 HR quetiapine 400 MG Extended Release Oral Tablet",766929,"721796"
"24 HR quetiapine 400 MG Extended Release Oral Tablet [Seroquel]",766930,"721797"
quetiapine 200 MG Oral Tablet [Seroquel],19017556,"153640"
quetiapine 300 MG Oral Tablet [Seroquel],19071493,"284509"
quetiapine 150 MG Oral Tablet,19101761,"389201"
"24 HR quetiapine 50 MG Extended Release Oral Tablet",40160985,"853201"
"24 HR quetiapine 50 MG Extended Release Oral Tablet [Seroquel]",40160986,"853202"
"24 HR quetiapine 150 MG Extended Release Oral Tablet",40169352,"895670"
"24 HR quetiapine 150 MG Extended Release Oral Tablet [Seroquel]",40169353,"895671"
{1 (24 HR quetiapine 200 MG Extended Release Oral Tablet [Seroquel]) / 11 (24 HR quetiapine 300 MG Extended Release Oral Tablet [Seroquel]) / 3 (24 HR quetiapine 50 MG Extended Release Oral Tablet [Seroquel]) } Pack [Seroquel XR 14-Day Sample Kit],46234550,"1648647"
