Drug_Name,OMOP CUI,RxNorm CUI
1 ML Ketorolac Tromethamine 15 MG/ML Cartridge,46287460,1665675
1 ML Ketorolac Tromethamine 15 MG/ML Injection,40164847,860092
1 ML Ketorolac Tromethamine 15 MG/ML Prefilled Syringe,40163867,860113
1 ML Ketorolac Tromethamine 30 MG/ML Cartridge,46287462,1665679
1 ML Ketorolac Tromethamine 30 MG/ML Injection,46287424,1665461
1 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe,40163868,860114
12 HR Naproxen sodium 220 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet,43012430,1367426
2 ML Ketorolac Tromethamine 30 MG/ML Cartridge,46287464,1665682
2 ML Ketorolac Tromethamine 30 MG/ML Injection,46287422,1665459
2 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe,40163891,860115
24 HR Diclofenac Sodium 100 MG Extended Release Oral Tablet,40162401,855657
24 HR Etodolac 400 MG Extended Release Oral Tablet,19077212,310245
24 HR Etodolac 500 MG Extended Release Oral Tablet,19099551,359500
24 HR Etodolac 600 MG Extended Release Oral Tablet,19077214,310247
24 HR Ketoprofen 100 MG Extended Release Oral Capsule,19080098,314059
24 HR Ketoprofen 150 MG Extended Release Oral Capsule,19078754,311230
24 HR Ketoprofen 200 MG Extended Release Oral Capsule,1186053,359697
24 HR Naproxen 1000 MG Extended Release Oral Tablet,19107938,433845
24 HR Naproxen 375 MG Extended Release Oral Tablet,40240375,1116320
24 HR Naproxen 500 MG Extended Release Oral Tablet,40240377,1116339
24 HR Naproxen 750 MG Extended Release Oral Tablet,40240379,1116349
8 ACTUAT Ketorolac Tromethamine 15.8 MG/ACTUAT Nasal Inhaler,40177118,992420
Benzydamine Hydrochloride 3 MG Oral Lozenge,42707734,1236089
celecoxib 100 MG Oral Capsule,19029024,205322
celecoxib 200 MG Oral Capsule,19029025,205323
celecoxib 400 MG Oral Capsule,1118091,349514
celecoxib 50 MG Oral Capsule,1118115,686379
