Drug_Name,OMOP CUI,RxNorm CUI
dexlansoprazole 30 MG Delayed Release Oral Capsule,19133802,833204
dexlansoprazole 60 MG Delayed Release Oral Capsule,19039961,833213
Diclofenac Sodium 50 MG / Misoprostol 0.2 MG Oral Tablet,40162344,857706
Diclofenac Sodium 75 MG / Misoprostol 0.2 MG Oral Tablet,42902224,1359105
Esomeprazole 0.167 MG/ML Oral Suspension,42899056,1307434
Esomeprazole 0.33 MG/ML Oral Suspension,42899058,1307436
Esomeprazole 0.5 MG/ML Oral Suspension,42800715,1297658
Esomeprazole 0.667 MG/ML Oral Suspension,40165707,861568
Esomeprazole 1 MG/ML Oral Suspension,42800719,1297761
Esomeprazole 1.33 MG/ML Oral Suspension,904490,692576
Esomeprazole 2.67 MG/ML Oral Suspension,904492,692578
Esomeprazole 20 MG / Naproxen 375 MG Delayed Release Oral Tablet,40222575,994005
Esomeprazole 20 MG / Naproxen 500 MG Delayed Release Oral Tablet,40222578,994008
Esomeprazole 20 MG Delayed Release Oral Capsule,19123103,606726
Esomeprazole 20 MG Delayed Release Oral Tablet,904457,433733
Esomeprazole 4 MG/ML Injectable Solution,904460,486499
Esomeprazole 40 MG Delayed Release Oral Capsule,19123105,606730
Esomeprazole 8 MG/ML Injectable Solution,19112920,486501
lansoprazole 0.5 MG/ML Oral Suspension,929955,791878
lansoprazole 1 MG/ML Oral Suspension,19129803,791880
lansoprazole 15 MG Delayed Release Oral Capsule,929953,596843
lansoprazole 15 MG Disintegrating Oral Tablet,929924,351261
lansoprazole 30 MG Delayed Release Oral Capsule,929889,311277
lansoprazole 30 MG Disintegrating Oral Tablet,19098167,351260
Magnesium Hydroxide 700 MG / Omeprazole 20 MG / Sodium Bicarbonate 600 MG Chewable Tablet,923752,645295
Magnesium Hydroxide 700 MG / Omeprazole 40 MG / Sodium Bicarbonate 600 MG Chewable Tablet,923753,645296
Misoprostol 0.1 MG Oral Tablet,1150924,311727
Misoprostol 0.2 MG Oral Tablet,1150926,317128
Omeprazole 0.5 MG/ML Oral Suspension,19130290,797063
Omeprazole 0.667 MG/ML Oral Suspension,19130286,797058
Omeprazole 1.33 MG/ML / Sodium Bicarbonate 1.33 MEQ/ML Oral Suspension,923757,753562
Omeprazole 10 MG Delayed Release Oral Capsule,923647,199119
Omeprazole 10 MG Delayed Release Oral Tablet,19102188,402013
Omeprazole 2 MG/ML Oral Suspension,42708624,1247406
Omeprazole 2.67 MG/ML / Sodium Bicarbonate 1.33 MEQ/ML Oral Suspension,923756,753557
Omeprazole 20 MG / Sodium Bicarbonate 1100 MG Oral Capsule,923720,616539
Omeprazole 20 MG Delayed Release Oral Capsule,19019418,198051
Omeprazole 20 MG Delayed Release Oral Tablet,19102189,402014
Omeprazole 40 MG / Sodium Bicarbonate 1100 MG Oral Capsule,923721,616541
Omeprazole 40 MG Delayed Release Oral Capsule,19023551,200329
pantoprazole 20 MG Delayed Release Oral Tablet,948079,251872
pantoprazole 4 MG/ML Injectable Solution,948080,283669
pantoprazole 40 MG Delayed Release Oral Tablet,19080217,314200
pantoprazole 40 MG Oral Granules,19129540,763306
Rabeprazole sodium 10 MG Delayed Release Oral Capsule,44784921,1483318
Rabeprazole sodium 20 MG Delayed Release Oral Tablet,40163285,854868
Rabeprazole sodium 5 MG Delayed Release Oral Capsule,43560634,1437489
