Drug_Name,OMOP CUI,RxNorm CUI
Aluminum Hydroxide 80 MG / magnesium trisilicate 14.2 MG Chewable Tablet,19127497,731000
Aluminum Hydroxide 80 MG / magnesium trisilicate 20 MG Chewable Tablet,19073023,308087
Caffeine 5 MG/ML / Pheniramine 2.66 MG/ML / Phenylephrine 0.84 MG/ML / Sodium Salicylate 16.7 MG/ML Oral Solution,965511,755593
Methenamine 162 MG / Sodium Salicylate 162.5 MG Oral Tablet,44814368,1489932
Salicylic Acid 0.005 MG/MG Paste,40237882,1099893
Salicylic Acid 0.4 MG/MG Paste,43532181,1424612
Salicylic Acid 20 MG/ML Otic Solution,19065507,252973
Salicylic Acid 580 MG Oral Tablet,964440,199911
Salsalate 500 MG Oral Tablet,1137524,312899
Salsalate 750 MG Oral Capsule,19019815,198206
Salsalate 750 MG Oral Tablet,19121933,583170
