Drug_Name,OMOP CUI,RxNorm CUI
Acetaminophen 110 MG / Aspirin 162 MG / Caffeine 32.4 MG / salicylamide 152 MG Oral Tablet,1127899,359221
Acetaminophen 115 MG / Aspirin 210 MG / Caffeine 16 MG / salicylamide 65 MG Oral Tablet,19073362,308278
Acetaminophen 130 MG / Aspirin 260 MG / Caffeine 16.3 MG Oral Tablet,19124719,647869
Acetaminophen 160 MG / Aspirin 230 MG / Caffeine 33 MG / Calcium Gluconate 60 MG Oral Tablet,19073369,308287
Acetaminophen 160 MG / Aspirin 230 MG / Caffeine 33 MG Oral Tablet,19028821,205251
Acetaminophen 194 MG / Aspirin 227 MG / Caffeine 33 MG Oral Tablet,1126878,243694
Acetaminophen 250 MG / Aspirin 250 MG / Caffeine 65 MG Oral Capsule,1135445,827318
Acetaminophen 250 MG / Aspirin 250 MG / Caffeine 65 MG Oral Tablet,19073408,308297
Acetaminophen 250 MG / Aspirin 250 MG / Diphenhydramine Citrate 38 MG Oral Tablet,45775630,1593110
Acetaminophen 250 MG / Aspirin 250 MG Oral Tablet,1113563,432638
Acetaminophen 250 MG / Aspirin 500 MG / Caffeine 32.5 MG / salicylamide 150 MG Oral Tablet,1164309,545871
Acetaminophen 260 MG / Aspirin 520 MG / Caffeine 32.5 MG Oral Powder,1135360,763116
Acetaminophen 325 MG / Aspirin 500 MG / Caffeine 65 MG Oral Powder,19125577,692836
Acetaminophen 325 MG / Aspirin 500 MG Oral Powder,1128828,763111
Aluminum Hydroxide 80 MG / magnesium trisilicate 14.2 MG Chewable Tablet,19127497,731000
Aluminum Hydroxide 80 MG / magnesium trisilicate 20 MG Chewable Tablet,19073023,308087
Aspirin 1000 MG / Caffeine 65 MG Oral Powder,40221995,994430
Aspirin 150 MG Rectal Suppository,19002900,103863
Aspirin 200 MG Rectal Suppository,1112838,198463
Aspirin 228 MG Chewing Gum,40161056,853499
Aspirin 25 MG / Dipyridamole 200 MG Oral Capsule,19066057,259081
Aspirin 262.5 MG / Caffeine 32.5 MG / salicylamide 30 MG Oral Tablet,19028858,205281
Aspirin 300 MG / Codeine Phosphate 8 MG Oral Tablet,40223265,996988
Aspirin 300 MG Oral Capsule,19021511,199274
Aspirin 300 MG Rectal Suppository,1112839,198464
Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine Phosphate 30 MG Oral Capsule,40221999,994237
Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule,1134769,238134
Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet,1134770,238135
Aspirin 325 MG / Caffeine 16 MG / salicylamide 95 MG Oral Tablet,19073553,308363
Aspirin 325 MG / Carisoprodol 200 MG / Codeine Phosphate 16 MG Oral Tablet,40221996,994226
Aspirin 325 MG / Carisoprodol 200 MG Oral Tablet,749933,197447
Aspirin 325 MG / Chlorpheniramine Maleate 2 MG / Dextromethorphan Hydrobromide 10 MG / Phenylephrine bitartrate 7.8 MG Effervescent Oral Tablet,44818360,1537029
Aspirin 325 MG / Chlorpheniramine Maleate 2 MG / Phenylephrine bitartrate 7.8 MG Effervescent Oral Tablet,44818322,1536840
Aspirin 325 MG / Chlorpheniramine Maleate 2 MG / Phenylephrine Hydrochloride 7.8 MG Effervescent Oral Tablet,44818330,1536871
Aspirin 325 MG / Citric Acid 1000 MG / Sodium Bicarbonate 1700 MG Effervescent Oral Tablet,44818286,1536467
Aspirin 325 MG / Citric Acid 1000 MG / Sodium Bicarbonate 1916 MG Effervescent Oral Tablet,44818312,1536675
Aspirin 325 MG / Diphenhydramine Citrate 38 MG Effervescent Oral Tablet,44818310,1536670
Aspirin 325 MG / Diphenhydramine Citrate 38 MG Oral Tablet,42799210,1291868
Aspirin 325 MG / Meprobamate 200 MG Oral Tablet,19019154,197930
Aspirin 325 MG / Oxycodone Hydrochloride 2.25 MG / oxycodone terephthalate 0.19 MG Oral Tablet,1113581,724614
Aspirin 325 MG / Oxycodone Hydrochloride 4.5 MG / oxycodone terephthalate 0.38 MG Oral Tablet,19124325,637540
Aspirin 325 MG / Oxycodone Hydrochloride 4.84 MG Oral Tablet,1113731,848768
Aspirin 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,40231965,1049691
Aspirin 325 MG / Pentazocine 12.5 MG Oral Tablet,1113237,312287
Aspirin 325 MG Delayed Release Oral Capsule,19124626,646434
Aspirin 325 MG Delayed Release Oral Tablet,1112892,198467
Aspirin 325 MG Oral Capsule,1112841,198466
Aspirin 325 MG Oral Tablet,19046742,212033
Aspirin 356.4 MG / Caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule,42707606,1234872
Aspirin 360 MG / Caffeine 75 MG / magnesium carbonate 100 MG / Magnesium Salicylate 60 MG Oral Tablet,40166172,863184
Aspirin 385 MG / Caffeine 30 MG / Orphenadrine Citrate 25 MG Oral Tablet,40222006,994528
Aspirin 389 MG / Caffeine 32.4 MG / Propoxyphene Hydrochloride 32 MG Oral Capsule,1135447,828585
Aspirin 400 MG / Caffeine 32 MG Oral Tablet,1134440,198479
Aspirin 410 MG / Caffeine 60 MG / salicylamide 30 MG Oral Tablet,40166174,863186
Aspirin 421 MG / Caffeine 32 MG Oral Tablet,1134832,243685
Aspirin 500 MG / Caffeine 32 MG Oral Tablet,19020056,198480
Aspirin 500 MG / Caffeine 32.5 MG Oral Tablet,19126176,702316
Aspirin 500 MG / Caffeine 65 MG Effervescent Oral Tablet,44818316,1536815
Aspirin 500 MG / Caffeine 65 MG Oral Tablet,19132061,806446
Aspirin 500 MG / Citric Acid 1000 MG / Sodium Bicarbonate 1985 MG Effervescent Oral Tablet,44818319,1536833
Aspirin 500 MG / Dextromethorphan Hydrobromide 10 MG / doxylamine succinate 6.25 MG / Phenylephrine bitartrate 7.8 MG Effervescent Oral Tablet,44818296,1536503
Aspirin 500 MG / Diphenhydramine Citrate 38.3 MG Oral Tablet,42709041,1250907
Aspirin 500 MG / Diphenhydramine Hydrochloride 25 MG Oral Tablet,40236719,1092398
Aspirin 500 MG / phenyltoloxamine 15 MG Oral Tablet,19073676,308410
Aspirin 500 MG Delayed Release Oral Tablet,19073675,308409
Aspirin 500 MG Oral Tablet,1112896,198471
Aspirin 600 MG Rectal Suppository,1112898,198473
Aspirin 650 MG / Caffeine 32 MG / salicylamide 195 MG Oral Powder,19073559,308370
Aspirin 650 MG / Caffeine 32 MG / salicylamide 200 MG Oral Powder,19130280,797050
Aspirin 650 MG / Caffeine 33.3 MG / salicylamide 195 MG Oral Powder,19123011,605252
Aspirin 650 MG / Chlorpheniramine Maleate 4 MG / Pseudoephedrine Hydrochloride 60 MG Oral Powder,43532914,1430392
Aspirin 650 MG Delayed Release Oral Tablet,19073677,308411
Aspirin 650 MG Oral Tablet,1112900,198475
Aspirin 742 MG / Caffeine 38 MG / salicylamide 222 MG Oral Powder,40169410,896884
Aspirin 75 MG Chewable Tablet,19073680,308414
Aspirin 770 MG / Caffeine 60 MG / Orphenadrine Citrate 50 MG Oral Tablet,40222013,994535
Aspirin 81 MG Chewable Tablet,1113346,318272
Aspirin 81 MG Delayed Release Oral Tablet,19073712,308416
Aspirin 81 MG Disintegrating Oral Tablet,1113614,747211
Aspirin 81 MG Oral Tablet,19059056,243670
Aspirin 845 MG / Caffeine 65 MG Oral Powder,40222019,994435
Aspirin 850 MG / Caffeine 65 MG Oral Powder,40171592,900528
Aspirin 975 MG Delayed Release Oral Tablet,19073713,308417
bismuth subsalicylate 105 MG/ML Oral Suspension,19123426,616343
bismuth subsalicylate 17.4 MG/ML Oral Suspension,19105672,422011
bismuth subsalicylate 17.5 MG/ML Oral Suspension,19074272,308762
bismuth subsalicylate 262 MG Chewable Tablet,19074271,308761
bismuth subsalicylate 262 MG Oral Tablet,19074250,308760
bismuth subsalicylate 35 MG/ML Oral Suspension,19074273,308763
Caffeine 5 MG/ML / Pheniramine 2.66 MG/ML / Phenylephrine 0.84 MG/ML / Sodium Salicylate 16.7 MG/ML Oral Solution,965511,755593
Methenamine 162 MG / Sodium Salicylate 162.5 MG Oral Tablet,44814368,1489932
Salicylic Acid 0.005 MG/MG Paste,40237882,1099893
Salicylic Acid 0.4 MG/MG Paste,43532181,1424612
Salicylic Acid 20 MG/ML Otic Solution,19065507,252973
Salicylic Acid 580 MG Oral Tablet,964440,199911
Salsalate 500 MG Oral Tablet,1137524,312899
Salsalate 750 MG Oral Capsule,19019815,198206
Salsalate 750 MG Oral Tablet,19121933,583170
