Drug_Name,OMOP CUI,RxNorm CUI
24 HR Desvenlafaxine 100 MG Extended Release Oral Tablet,19129664,790264
24 HR Desvenlafaxine 25 MG Extended Release Oral Tablet,46221214,1607617
24 HR Desvenlafaxine 50 MG Extended Release Oral Tablet,19129681,790288
24 HR Fluvoxamine Maleate 100 MG Extended Release Oral Capsule,40173459,903873
24 HR Fluvoxamine Maleate 150 MG Extended Release Oral Capsule,40173466,903879
24 HR levomilnacipran 120 MG Extended Release Oral Capsule,43559988,1433217
24 HR levomilnacipran 20 MG Extended Release Oral Capsule,43559990,1433227
24 HR levomilnacipran 40 MG Extended Release Oral Capsule,43559992,1433233
24 HR levomilnacipran 80 MG Extended Release Oral Capsule,43559994,1433239
24 HR Trazodone Hydrochloride 150 MG Extended Release Oral Tablet,40171493,898697
24 HR Trazodone Hydrochloride 300 MG Extended Release Oral Tablet,40171495,898704
24 HR venlafaxine 150 MG Extended Release Oral Capsule,743717,313581
24 HR venlafaxine 150 MG Extended Release Oral Tablet,19132560,808744
24 HR venlafaxine 225 MG Extended Release Oral Tablet,19132561,808748
24 HR venlafaxine 37.5 MG Extended Release Oral Capsule,743719,313583
24 HR venlafaxine 37.5 MG Extended Release Oral Tablet,19132562,808751
24 HR venlafaxine 75 MG Extended Release Oral Capsule,743721,313585
24 HR venlafaxine 75 MG Extended Release Oral Tablet,19132563,808753
Citalopram 10 MG Oral Capsule,19127393,730440
Citalopram 10 MG Oral Tablet,797632,283672
Citalopram 2 MG/ML Oral Solution,19075393,309313
Citalopram 20 MG Oral Capsule,19127394,730441
Citalopram 20 MG Oral Tablet,19023636,200371
Citalopram 40 MG Oral Capsule,19127395,730442
Citalopram 40 MG Oral Tablet,19075394,309314
duloxetine 20 MG Delayed Release Oral Capsule,715294,596926
duloxetine 30 MG Delayed Release Oral Capsule,19122148,596930
duloxetine 40 MG Delayed Release Oral Capsule,19123437,616402
duloxetine 60 MG Delayed Release Oral Capsule,715300,596934
Escitalopram 1 MG/ML Oral Solution,715964,351285
Escitalopram 10 MG Oral Tablet,715940,349332
Escitalopram 20 MG Oral Tablet,19098166,351250
Escitalopram 5 MG Oral Tablet,715962,351249
Fluoxetine 10 MG Oral Capsule,19077462,310384
Fluoxetine 10 MG Oral Tablet,19079985,313990
Fluoxetine 15 MG Oral Tablet,19131597,803293
Fluoxetine 20 MG Oral Capsule,19077463,310385
Fluoxetine 20 MG Oral Tablet,755700,248642
Fluoxetine 25 MG / olanzapine 12 MG Oral Capsule,19102553,403970
Fluoxetine 25 MG / olanzapine 3 MG Oral Capsule,755855,721787
Fluoxetine 25 MG / olanzapine 6 MG Oral Capsule,19102552,403969
Fluoxetine 4 MG/ML Oral Solution,19077464,310386
Fluoxetine 40 MG Oral Capsule,755739,313989
Fluoxetine 50 MG / olanzapine 12 MG Oral Capsule,19102554,403971
Fluoxetine 50 MG / olanzapine 6 MG Oral Capsule,19102555,403972
Fluoxetine 60 MG Oral Tablet,40243919,1190110
Fluoxetine 90 MG Delayed Release Oral Capsule,755741,313995
Fluvoxamine Maleate 100 MG Oral Tablet,40174725,903884
Fluvoxamine Maleate 25 MG Oral Tablet,40174735,903887
Fluvoxamine Maleate 50 MG Oral Tablet,40174739,903891
Milnacipran hydrochloride 100 MG Oral Tablet,19080230,833135
Milnacipran hydrochloride 12.5 MG Oral Tablet,19080253,833141
Milnacipran hydrochloride 25 MG Oral Tablet,19080257,833147
Milnacipran hydrochloride 50 MG Oral Tablet,19080255,833144
Paroxetine 2 MG/ML Oral Suspension,722068,312242
Paroxetine 7.5 MG Oral Capsule,43532894,1430122
Sertraline 100 MG Oral Tablet,739207,312938
Sertraline 150 MG Oral Tablet,739285,794947
Sertraline 20 MG/ML Oral Solution,40165282,861064
Sertraline 200 MG Oral Tablet,19064369,251200
Sertraline 25 MG Oral Tablet,19079497,312940
Sertraline 50 MG Oral Tablet,739209,312941
Trazodone Hydrochloride 100 MG Oral Tablet,40163460,856373
Trazodone Hydrochloride 150 MG Oral Tablet,40163464,856364
Trazodone Hydrochloride 300 MG Oral Tablet,40163468,856369
Trazodone Hydrochloride 50 MG Oral Tablet,40163473,856377
venlafaxine 100 MG Oral Tablet,19079835,313580
venlafaxine 25 MG Oral Tablet,743718,313582
venlafaxine 37.5 MG Oral Tablet,743720,313584
venlafaxine 50 MG Oral Tablet,743753,314277
venlafaxine 75 MG Oral Tablet,743752,313586
vilazodone hydrochloride 10 MG Oral Tablet,40234838,1086772
vilazodone hydrochloride 20 MG Oral Tablet,40234842,1086778
vilazodone hydrochloride 40 MG Oral Tablet,40234846,1086784
