Drug_Name,OMOP CUI,RxNorm CUI
Warfarin Sodium 1 MG Oral Tablet,40163510,855288
Warfarin Sodium 10 MG Oral Tablet,40163518,855296
Warfarin Sodium 2 MG Oral Tablet,40163524,855302
Warfarin Sodium 2 MG/ML Injectable Solution,40163530,855308
Warfarin Sodium 2.5 MG Oral Tablet,40163534,855312
Warfarin Sodium 3 MG Oral Tablet,40163540,855318
Warfarin Sodium 4 MG Oral Tablet,40163546,855324
Warfarin Sodium 5 MG Oral Tablet,40163554,855332
Warfarin Sodium 6 MG Oral Tablet,40163560,855338
Warfarin Sodium 7.5 MG Oral Tablet,40163566,855344
